cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31,cell32,cell33,cell34,cell35,cell36,cell37,cell38,cell39,cell40
1302.778,900.653,1181.469,1207.292,969.241,977.663,1135.325,1069.957,1070.519,908.978,883.043,1065.571,664.154,682.694,1054.696,1049.952,1158.394,1057.125,762.909,944.417,796.536,808.69,743.268,1048,897.726,687.125,625.177,1118.524,887.838,1067.695,765.536,884.913,1101.848,756.714,714.9,1165.803,841.057,857.367,676.292,1009.179
1331.722,919.278,1242,1253.944,1000.839,946.247,1156.302,1081.471,1088.677,918.701,918.138,1033.571,684.731,688.569,1045.833,1068.577,1182.077,1099.667,733.966,951.24,791.103,812.583,745.286,1066.455,900.798,662.984,614.279,1181.484,865.586,1099.591,771.518,850.928,1057.81,719.988,702.071,1233.492,818.114,849.723,683.104,989.143
1318.778,913.681,1225.062,1230.214,988.696,952.82,1154.563,1038.729,1064.917,903.336,892.276,1049.857,669.221,694.806,1066.833,1041.24,1180.144,1068.042,787.534,955.333,802.66,761.536,733.125,1046.607,887.119,679.312,618.962,1137.847,874.419,1056.915,769.991,910.145,1070.304,742.524,728.886,1177.082,835.986,845.807,685.052,1025.667
1297.833,924.417,1213.062,1270.359,996.205,919.955,1152.682,1071.714,1069.88,904.146,869.741,1049.036,683.019,689.708,1026.5,1028.423,1175.942,1069.354,754.091,975.271,775.814,821.845,752.393,1100.366,860.095,699.188,619.051,1179.895,872.671,1078.079,775.5,898.797,1083.228,733.869,697.443,1208.197,838.271,831.139,688.469,985.905
1334.694,909.417,1230.531,1218.978,993.223,951.427,1107.318,1045.986,1089.15,912.861,915.897,1042.845,677.433,658.903,1045.049,1034.115,1179.087,1043.75,764.011,959.531,779.536,843.964,735.982,1058.973,894.893,685.719,625.253,1183.532,875.719,1088.409,762.607,877.261,1074.684,736.988,714.957,1233.033,826.386,821.054,672.417,1004.226
1336.806,924.014,1225.406,1254.022,1009.375,901.258,1132.222,1032.429,1038.684,908.117,917.914,1035.857,672.615,673.639,1006.324,1041.971,1092.933,1030.396,703.318,945.167,829.825,844.083,745.58,1072.161,847.988,699.812,611.19,1150.435,869.948,1084.049,768.116,852.406,963.519,740.071,678.8,1147.328,810.757,819.398,672.094,913.583
1249,920.611,1216.375,1236.618,1029.562,949.618,1150.524,1053.1,1097.624,886.314,900.991,1062.619,669.038,688.306,1078.441,1031.894,1150.663,1030.458,737.909,984.615,800.99,777.488,749.116,1079.58,891.952,673.031,598.924,1179.847,856.081,1076.031,772.688,881.565,1012.354,731.595,699.071,1176.984,828.743,831.886,682.438,956.131
1347.361,885.042,1186.781,1242.214,1040.759,933.697,1156.992,1044.857,1093.038,888.175,879.595,1085.44,687.404,674.417,1034.304,1052.096,1154.01,1053.271,763.955,926.99,789.134,856.405,748.348,1062.938,896.631,709.781,600.38,1187.032,861.857,1189.793,775.188,868.246,1119.62,755.631,713.986,1200.984,827.357,837.855,676.688,1001.643
1303.889,899.861,1210.812,1249.034,1030.089,918.742,1168.682,1031.971,1075.195,905.292,888.586,1030.905,662.096,722.375,1065.323,1047.942,1176.356,1039.427,794.239,965.073,789.536,775.107,735.42,1070.759,904.274,680.094,590.608,1185.976,882.681,1208.604,768.134,863.29,1051.747,763.702,729.671,1170.066,842.071,849.5,690.771,991.274
1374.806,883.25,1198.094,1195.214,968.375,937.169,1155.46,1035.086,1085.805,909.474,876.466,1001.25,662.144,677.5,1040.853,1043.74,1175.567,1046.323,768.886,893.562,790.402,850.393,741.848,1082.598,904.262,656.953,626.266,1165.073,851.8,1160.518,765.964,894.333,1088.848,754.107,709.914,1206.197,809.957,822.578,698.979,982.81
1275.694,902.667,1252.469,1214.326,995.571,929.101,1163.786,1058.586,1049.639,897.993,888.388,1041.405,641.923,710.417,1085.471,1051.288,1163.087,1036.073,761.705,980.229,768.773,778.726,741.607,1057.723,897.512,691.281,646.962,1170.75,853.019,1144.988,761.438,846.783,999.76,764.488,725.1,1195.361,801.186,850.928,686.292,977.798
1354.194,902.361,1262.031,1161.82,996.357,914.685,1137.532,1053.014,1095.045,874.942,887.664,1044.56,698.202,692.667,1056.98,1013.279,1179.865,1041.177,742.625,934.615,773.052,804.905,760.67,1060.679,909.083,693.312,625.19,1131.879,874.119,1120.732,762.929,885.507,1057.532,762.976,692.614,1218.951,835.886,859.018,667.729,976.607
1248.75,926.653,1216.938,1183.685,987,900.112,1136.706,1046.6,1068.947,868.577,889.405,1040.881,665.51,689.931,1012.637,1039.837,1103.721,1053.344,741.875,930.531,768.845,836.464,735.812,1097.018,863.607,704.719,606.848,1161.21,859.109,1125.494,775.062,856.319,1090.835,733.762,692.714,1177.049,822.643,829.355,695.177,968.929
1309.639,938.097,1206.344,1242.202,1034.75,914.82,1155.524,1057.229,1054.835,899.942,877.534,1041.929,685.288,654.056,991.304,1043.856,1104.375,1024.312,732.898,917.635,796.402,811.952,750.482,1087.134,864.952,672.922,623.924,1175.226,857.095,1109.091,754.17,877.246,1053.608,731.869,667.8,1158.312,819.1,842.114,699.156,964.583
1227.583,899.958,1080.594,1269.798,1016.875,888.438,1152.143,1026.671,1050,886.606,888.897,1021.857,650.712,703.931,1063.833,1050.904,1098.529,1017.094,740.864,959.062,765.794,823.107,749.429,1097.688,843.036,661.641,602.949,1171.194,860.91,1104.213,763.938,846.971,968.392,764.345,655.543,1171.984,791.943,842.747,657.771,944.5
1293.889,893.292,1216.312,1195.764,1007.366,895.888,1142.262,1016.029,1066.105,885.701,866.259,1004.679,626.308,660.403,1070.863,1038.413,1162.202,1031.188,750.466,963.469,804.278,806.095,788.723,1028.491,885.667,669.484,620.861,1155.96,856.581,1064.274,732.446,890.377,1035.671,755.631,729.5,1190.279,842.486,844.675,692.479,975.476
