Points0,Points1,Points2,,intensity,filtered
52,198.3074753,144,,876.1988,0
183,198.3074753,94,,719.5936,0
57,198.3074753,61,,1039.0142,0
94,197.7433004,0,,1333.4224,0
174,197.7433004,8,,1018.0416,0
97,197.7433004,5,,1268.525,0
103,197.7433004,27,,1318.528,0
143,197.7433004,50,,1055.9696,0
163,197.7433004,70,,965.7956,0
162,197.7433004,95,,1189.8446,0
138,197.7433004,110,,1088.577,0
107,197.7433004,117,,1112.5338,0
97,197.7433004,104,,955.8802,0
114,197.7433004,93,,925.3016,0
121,197.7433004,75,,1075.4572,0
178,197.7433004,153,,878.2942,0
148,197.7433004,176,,742.175,1.614
7,197.7433004,178,,1071.551,0
2,197.7433004,168,,1081.6884,0
17,197.7433004,116,,1206.7768,0
31,197.7433004,41,,1094.7564,0
116,197.7433004,146,,779.7614,6.5274
118,197.7433004,17,,981.1166,0
149,197.7433004,38,,857.7772,0
194,197.7433004,154,,852.6524,0
55,197.7433004,167,,775.6964,0
59,197.7433004,96,,1092.7554,0
83,197.7433004,119,,925.081,0
111,197.7433004,175,,732.225,0
81,197.7433004,156,,643.17,0
97,197.7433004,59,,1201.2,0
27,197.7433004,142,,939.2304,0
80,197.7433004,66,,1124.6708,0
70,197.7433004,124,,832.2998,6.3464
61,197.7433004,26,,950.5624,0
139,197.7433004,58,,1073.3216,0
137,197.7433004,163,,759.1548,0
169,197.7433004,131,,739.0772,0
0,197.7433004,127,,1249.5016,0
68,197.7433004,66,,862.703,0
52,197.7433004,144,,872.8686,0
183,197.7433004,94,,706.2104,0
57,197.7433004,61,,1027.0618,0
94,197.1791255,0,,1323.4836,0
174,197.1791255,8,,1006.1612,0
97,197.1791255,5,,1269.4374,0.9124
103,197.1791255,27,,1303.4516,0
143,197.1791255,50,,1043.4482,0
163,197.1791255,70,,954.6788,0
162,197.1791255,95,,1178.9176,0
138,197.1791255,110,,1086.0856,0
107,197.1791255,117,,1108.015,0
97,197.1791255,104,,943.5284,0
114,197.1791255,93,,924.2344,0
121,197.1791255,75,,1064.4786,0
178,197.1791255,153,,848.7652,0
148,197.1791255,176,,741.0528,0
7,197.1791255,178,,1065.4118,0
2,197.1791255,168,,1086.3942,4.7058
17,197.1791255,116,,1202.3576,0
31,197.1791255,41,,1091.3272,0
116,197.1791255,146,,768.95,0
118,197.1791255,17,,979.079,0
149,197.1791255,38,,840.8762,0
194,197.1791255,154,,858.1406,5.4882
55,197.1791255,167,,762.0304,0
59,197.1791255,96,,1092.916,0.1606
83,197.1791255,119,,913.6026,0
111,197.1791255,175,,715.3998,0
81,197.1791255,156,,633.3142,0
97,197.1791255,59,,1206.8468,5.6468
27,197.1791255,142,,927.54,0
80,197.1791255,66,,1120.178,0
70,197.1791255,124,,831.4784,0
61,197.1791255,26,,935.148,0
139,197.1791255,58,,1055.0506,0
137,197.1791255,163,,752.1596,0
169,197.1791255,131,,734.8116,0
0,197.1791255,127,,1246.882,0
68,197.1791255,66,,859.523,0
52,197.1791255,144,,862.9662,0
183,197.1791255,94,,703.2626,0
57,197.1791255,61,,1009.0666,0
94,196.6149506,0,,1314.9168,0
174,196.6149506,8,,988.539,0
97,196.6149506,5,,1257.7438,0
103,196.6149506,27,,1301.2516,0
143,196.6149506,50,,1042.775,0
163,196.6149506,70,,962.281,7.6022
162,196.6149506,95,,1176.7778,0
138,196.6149506,110,,1075.3342,0
107,196.6149506,117,,1107.397,0
97,196.6149506,104,,941.4584,0
114,196.6149506,93,,922.8136,0
121,196.6149506,75,,1060.512,0
178,196.6149506,153,,821.3766,0
148,196.6149506,176,,742.7528,1.7
7,196.6149506,178,,1064.261,0
2,196.6149506,168,,1081.8808,0
17,196.6149506,116,,1189.1134,0
31,196.6149506,41,,1088.2772,0
116,196.6149506,146,,761.5728,0
118,196.6149506,17,,969.0852,0
149,196.6149506,38,,825.0082,0
194,196.6149506,154,,860.6334,2.4928
55,196.6149506,167,,753.0892,0
59,196.6149506,96,,1091.3516,0
83,196.6149506,119,,908.8312,0
111,196.6149506,175,,707.053,0
81,196.6149506,156,,635.2762,1.962
97,196.6149506,59,,1198.316,0
27,196.6149506,142,,923.6248,0
80,196.6149506,66,,1114.1634,0
70,196.6149506,124,,828.9606,0
61,196.6149506,26,,931.2784,0
139,196.6149506,58,,1060.9342,5.8836
137,196.6149506,163,,753.7572,1.5976
169,196.6149506,131,,732.9258,0
0,196.6149506,127,,1232.2918,0
68,196.6149506,66,,861.2544,1.7314
52,196.6149506,144,,857.365,0
183,196.6149506,94,,699.4188,0
57,196.6149506,61,,1003.338,0
94,196.0507757,0,,1318.889,3.9722
174,196.0507757,8,,966.003,0
97,196.0507757,5,,1250.3124,0
103,196.0507757,27,,1282.7482,0
143,196.0507757,50,,1040.8428,0
163,196.0507757,70,,953.3798,0
162,196.0507757,95,,1168.6238,0
138,196.0507757,110,,1077.1686,1.8344
107,196.0507757,117,,1103.1368,0
97,196.0507757,104,,931.2424,0
114,196.0507757,93,,918.95,0
121,196.0507757,75,,1060.9072,0.3952
178,196.0507757,153,,805.6112,0
148,196.0507757,176,,743.75,0.9972
7,196.0507757,178,,1065.2668,1.0058
2,196.0507757,168,,1072.802,0
17,196.0507757,116,,1181.7308,0
31,196.0507757,41,,1079.5604,0
116,196.0507757,146,,760.3908,0
118,196.0507757,17,,966.4874,0
149,196.0507757,38,,817.0082,0
194,196.0507757,154,,861.8596,1.2262
55,196.0507757,167,,750.0874,0
59,196.0507757,96,,1090.9034,0
83,196.0507757,119,,903.6502,0
111,196.0507757,175,,707.175,0.122
81,196.0507757,156,,638.0458,2.7696
97,196.0507757,59,,1190.4128,0
27,196.0507757,142,,916.5334,0
80,196.0507757,66,,1114.4646,0.3012
70,196.0507757,124,,818.5588,0
61,196.0507757,26,,924.3972,0
139,196.0507757,58,,1062.362,1.4278
137,196.0507757,163,,755.75,1.9928
169,196.0507757,131,,724.9544,0
0,196.0507757,127,,1225.987,0
68,196.0507757,66,,860.2858,0
52,196.0507757,144,,851.524,0
183,196.0507757,94,,699.6938,0.275
57,196.0507757,61,,996.3952,0
94,195.4866008,0,,1324.15,5.261
174,195.4866008,8,,959.3474,0
97,195.4866008,5,,1248.525,0
103,195.4866008,27,,1272.5348,0
143,195.4866008,50,,1040.3322,0
163,195.4866008,70,,966.2876,12.9078
162,195.4866008,95,,1165.9984,0
138,195.4866008,110,,1083.0086,5.84
107,195.4866008,117,,1104.77,1.6332
97,195.4866008,104,,934.273,3.0306
114,195.4866008,93,,912.6586,0
121,195.4866008,75,,1070.5358,9.6286
178,195.4866008,153,,785.2496,0
148,195.4866008,176,,745.4362,1.6862
7,195.4866008,178,,1073.5354,8.2686
2,195.4866008,168,,1069.4232,0
17,195.4866008,116,,1194.2154,12.4846
31,195.4866008,41,,1087.2604,7.7
116,195.4866008,146,,767.4318,7.041
118,195.4866008,17,,966.3542,0
149,195.4866008,38,,829.3484,12.3402
194,195.4866008,154,,859.3358,0
55,195.4866008,167,,743.3624,0
59,195.4866008,96,,1089.1874,0
83,195.4866008,119,,910.755,7.1048
111,195.4866008,175,,697.9532,0
81,195.4866008,156,,632.5572,0
97,195.4866008,59,,1188.816,0
27,195.4866008,142,,912.3676,0
80,195.4866008,66,,1118.6596,4.195
70,195.4866008,124,,817.098,0
61,195.4866008,26,,918.4088,0
139,195.4866008,58,,1072.714,10.352
137,195.4866008,163,,749.138,0
169,195.4866008,131,,736.5714,11.617
0,195.4866008,127,,1219.7836,0
68,195.4866008,66,,859.7228,0
52,195.4866008,144,,853.9216,2.3976
183,195.4866008,94,,701.448,1.7542
57,195.4866008,61,,1005.769,9.3738
94,194.922426,0,,1334.9222,10.7722
174,194.922426,8,,948.0752,0
97,194.922426,5,,1255.5874,7.0624
103,194.922426,27,,1257.8808,0
143,194.922426,50,,1030.1162,0
163,194.922426,70,,956.9414,0
162,194.922426,95,,1157.981,0
138,194.922426,110,,1082.0772,0
107,194.922426,117,,1097.1894,0
97,194.922426,104,,928.5984,0
114,194.922426,93,,906.9708,0
121,194.922426,75,,1067.7024,0
178,194.922426,153,,772.5036,0
148,194.922426,176,,743.4084,0
7,194.922426,178,,1073.598,0.0626
2,194.922426,168,,1067.4022,0
17,194.922426,116,,1190.8252,0
31,194.922426,41,,1085.1104,0
116,194.922426,146,,760.509,0
118,194.922426,17,,965.023,0
149,194.922426,38,,823.6536,0
194,194.922426,154,,869.4358,10.1
55,194.922426,167,,744.4054,1.043
59,194.922426,96,,1082.1928,0
83,194.922426,119,,910.6478,0
111,194.922426,175,,692.9,0
81,194.922426,156,,628.9926,0
97,194.922426,59,,1192.4578,3.6418
27,194.922426,142,,901.0066,0
80,194.922426,66,,1121.3912,2.7316
70,194.922426,124,,804.4176,0
61,194.922426,26,,911.2956,0
139,194.922426,58,,1075.6988,2.9848
137,194.922426,163,,749.7214,0.5834
169,194.922426,131,,738.24,1.6686
0,194.922426,127,,1212.6132,0
68,194.922426,66,,858.0572,0
52,194.922426,144,,857.4324,3.5108
183,194.922426,94,,705.8522,4.4042
57,194.922426,61,,1003.081,0
94,194.3582511,0,,1325.561,0
174,194.3582511,8,,945.039,0
97,194.3582511,5,,1241.0562,0
103,194.3582511,27,,1256.8562,0
