0,54956
100,46379
19,20039
26,19903
74,18161
93,17255
120,15799
18,15147
25,14820
12,14135
13,13178
95,12999
73,12998
14,12525
72,12420
99,12167
96,12031
16,11688
66,11623
110,10231
90,10058
79,10009
61,9888
45,9881
55,9804
20,9779
77,9740
49,9531
10,9515
31,9328
5,9213
85,9043
58,8874
89,8618
29,8360
106,8295
68,8112
46,7807
21,7711
51,7707
15,7695
8,7674
65,7660
24,7552
97,7277
28,7261
71,7192
17,6931
98,6769
57,6740
32,6164
22,5916
42,5822
78,5812
82,5702
60,5247
87,5231
40,5217
38,5133
23,5024
4,4962
70,4872
6,4857
112,4854
9,4802
7,4500
75,4498
117,4475
54,4250
86,4161
37,4129
80,4102
27,3917
47,3907
116,3872
36,3857
113,3708
52,3648
48,3600
64,3400
43,3356
50,3330
39,3291
103,3282
11,3254
34,3235
92,3108
107,2955
63,2838
108,2711
44,2665
67,2626
91,2593
59,2395
56,2298
88,2153
104,2040
102,2012
76,1946
62,1933
69,1930
41,1877
81,1788
2,1766
53,1490
105,1378
111,1362
125,1337
35,1333
83,1319
130,1307
129,1090
109,1028
121,953
30,933
123,907
33,763
1,754
114,642
128,600
101,592
3,537
127,533
122,427
119,383
118,356
94,292
124,274
131,223
126,79
132,74
115,71
84,20
