42,31017
52,27817
39,27728
49,25750
30,25502
87,25298
10,24356
57,23370
60,21383
64,21358
7,20106
0,18325
32,18079
37,17925
3,17698
45,17569
36,16722
53,15966
5,15511
4,15471
34,15392
68,14925
15,14777
8,14766
38,14149
62,13849
100,13769
79,13652
74,11868
22,11549
40,11002
55,10900
91,10612
20,10404
2,10009
25,9423
50,9398
59,8310
72,7672
76,7583
93,7551
26,7524
61,7430
6,7271
18,6999
90,6364
17,6211
80,5906
86,5830
88,5672
9,5470
63,5431
12,5316
21,5303
28,5250
78,4343
56,4233
11,4116
73,4064
44,3965
33,3914
71,3531
23,3399
43,3345
54,3341
70,3026
1,2992
19,2823
27,2677
46,2494
13,2414
41,2304
85,2072
97,1962
47,1700
16,1625
51,1624
24,1432
58,1356
84,1330
77,1206
69,1144
94,1094
29,769
31,765
48,716
75,591
35,558
95,492
82,489
66,478
96,380
65,319
67,265
81,225
98,197
99,106
92,93
14,75
83,24
