22,52674
14,51023
6,47329
100,41561
38,38358
37,35270
3,31907
5,28414
13,27762
36,27741
7,25983
23,25881
35,24309
24,22977
1,22202
20,21837
18,21016
4,20136
17,20053
61,17236
26,16885
51,16160
40,14166
59,14097
15,13976
33,13794
25,13251
41,12456
29,10204
9,8433
19,8405
2,8303
32,8209
28,7786
43,7526
42,7052
44,6404
0,4330
10,4273
12,3424
49,3087
8,2555
64,2546
27,2320
34,2076
53,1773
48,1773
30,1764
21,1621
46,1504
55,1241
31,1221
47,1083
50,1073
63,963
11,962
52,959
39,931
16,903
56,785
62,274
45,190
57,89
60,52
54,8
