Points0,Points1,Points2,cell,,,comm0,proc_300_cor7,proc_300_cor9,intensity
18.645,30,7.722,124,565,234,0,5,7,9636.4
18.48,30,13.794,125,560,418,1,5,7,9296.3
19.008,30,10.131,126,576,307,0,5,7,9800
19.14,30,10.824,127,580,328,1,5,7,9439
19.305,30,4.554,128,585,138,0,5,51,9442.3
19.239,30,8.613,129,583,261,0,5,51,10106
19.272,30,16.896,130,584,512,1,5,51,7939
19.338,30,16.038,131,586,486,1,5,12,7255.8
20.031,30,5.775,132,607,175,1,5,12,9800
20.163,30,8.811,133,611,267,0,5,12,9945.8
20.229,30,10.395,134,613,315,0,5,51,9714.3
20.691,30,13.134,135,627,398,1,5,54,9609.4
20.856,30,3.465,136,632,105,1,5,54,8807.2
20.889,30,16.632,137,633,504,1,5,54,6065.6
21.12,30,6.237,138,640,189,1,5,54,8090.9
22.308,30,10.461,139,676,317,0,5,54,7967.9
0.165,29.99000666,12.441,1,,,1,5,54,10854
0.132,29.99000666,5.841,2,,,1,5,54,9154.9
0.264,29.99000666,3.663,3,,,1,5,54,8246.3
0.396,29.99000666,9.537,4,,,1,5,51,12398
0.594,29.99000666,6.105,5,,,1,5,51,9022.2
0.66,29.99000666,1.518,6,,,1,5,51,9797.3
0.825,29.99000666,16.533,7,,,1,5,51,8475.9
0.891,29.99000666,4.356,8,,,0,5,51,9943.8
0.891,29.99000666,2.508,9,,,1,5,51,8758.6
0.99,29.99000666,8.283,10,,,1,5,51,10901
1.023,29.99000666,11.22,11,,,1,5,51,11864
1.188,29.99000666,8.91,12,,,1,5,28,11026
1.353,29.99000666,16.434,13,,,1,5,28,9083
1.419,29.99000666,7.557,14,,,1,5,28,10071
1.782,29.99000666,12.804,15,,,1,5,7,10609
2.211,29.99000666,1.023,16,,,0,5,7,8858.7
2.211,29.99000666,9.768,17,,,0,5,7,12353
2.508,29.99000666,13.035,18,,,1,5,7,11731
2.442,29.99000666,7.392,19,,,0,5,7,9909.7
2.475,29.99000666,2.772,20,,,0,5,7,8403.7
2.64,29.99000666,1.551,21,,,0,5,7,9448
2.772,29.99000666,8.382,22,,,0,5,7,10671
2.805,29.99000666,10.461,23,,,0,5,7,12934
3.531,29.99000666,16.797,24,,,1,5,7,9423.1
3.465,29.99000666,8.019,25,,,0,5,7,11096
3.762,29.99000666,7.128,26,,,0,5,54,12121
3.663,29.99000666,4.785,27,,,0,5,54,10053
3.861,29.99000666,12.276,28,,,0,5,54,11679
3.828,29.99000666,7.92,29,,,0,5,54,12260
4.125,29.99000666,5.511,30,,,0,5,54,10656
4.158,29.99000666,0.462,31,,,1,5,54,8704.5
4.29,29.99000666,13.959,32,,,1,5,7,11149
4.356,29.99000666,9.702,33,,,1,5,7,11087
4.587,29.99000666,11.781,34,,,0,5,7,10964
4.785,29.99000666,10.164,35,,,0,5,54,10709
4.917,29.99000666,11.22,36,,,0,5,54,11513
4.983,29.99000666,0.759,37,,,0,5,7,9011.2
5.016,29.99000666,5.412,38,,,0,5,7,10345
5.214,29.99000666,12.441,39,,,1,5,7,11093
5.313,29.99000666,11.715,40,,,0,5,7,11023
5.346,29.99000666,7.227,41,,,1,5,7,10947
5.478,29.99000666,10.725,42,,,0,5,7,12371
5.577,29.99000666,9.108,43,,,0,5,7,10860
5.709,29.99000666,4.158,44,,,0,12,9,9630.6
5.676,29.99000666,5.94,45,,,0,12,58,12268
5.775,29.99000666,4.62,46,,,0,5,58,9837.5
5.907,29.99000666,15.345,47,,,0,5,58,10822
6.006,29.99000666,7.953,48,,,0,5,58,10837
6.138,29.99000666,11.88,49,,,0,5,58,11756
6.072,29.99000666,4.983,50,,,1,5,58,11803
6.336,29.99000666,13.002,51,,,1,5,58,11627
6.567,29.99000666,4.587,52,,,0,5,58,10790
6.798,29.99000666,8.085,53,,,1,5,58,11391
6.666,29.99000666,3.234,54,,,0,5,58,10231
6.765,29.99000666,10.626,55,,,0,5,48,10887
6.831,29.99000666,14.091,56,,,0,5,9,10931
6.93,29.99000666,15.081,57,,,1,5,47,9477.8
7.095,29.99000666,3.234,58,,,0,5,48,10079
7.095,29.99000666,11.319,59,,,0,5,58,10980
7.326,29.99000666,5.775,60,,,0,5,47,10777
7.59,29.99000666,10.527,61,,,0,5,47,11342
7.722,29.99000666,8.184,62,,,1,5,47,10571
7.689,29.99000666,11.748,63,,,0,5,47,11232
7.689,29.99000666,16.401,64,,,1,5,47,8096.6
7.887,29.99000666,12.837,65,,,1,5,47,11091
8.085,29.99000666,4.62,66,,,0,5,47,9390.2
8.25,29.99000666,5.544,67,,,0,5,47,11679
8.415,29.99000666,7.392,68,,,1,5,47,11765
8.646,29.99000666,9.339,69,,,1,5,47,11092
8.547,29.99000666,8.217,70,,,0,5,47,11306
8.514,29.99000666,3.993,71,,,0,5,47,9243.6
8.712,29.99000666,1.716,72,,,0,5,47,8177.4
8.646,29.99000666,5.214,73,,,0,5,47,10476
9.075,29.99000666,7.491,74,,,0,5,47,12392
9.075,29.99000666,12.012,75,,,0,5,47,11759
9.042,29.99000666,10.461,76,,,0,5,47,13376
9.141,29.99000666,13.035,77,,,0,5,47,10378
9.405,29.99000666,4.719,78,,,0,5,47,9454.5
9.867,29.99000666,3.927,79,,,0,5,47,9029.4
9.867,29.99000666,6.765,80,,,0,5,47,11208
10.329,29.99000666,4.455,81,,,0,5,47,9967.7
10.56,29.99000666,0.891,82,,,1,5,47,7917.4
10.923,29.99000666,3.531,83,,,0,5,47,9892.7
10.956,29.99000666,7.59,84,,,0,5,47,11139
11.451,29.99000666,9.438,85,,,1,5,47,11212
11.484,29.99000666,4.257,86,,,0,5,47,10248
11.682,29.99000666,16.335,87,,,1,5,47,8029.2
11.715,29.99000666,6.204,88,,,0,5,47,10985
11.814,29.99000666,5.412,89,,,0,5,47,10288
12.243,29.99000666,10.725,90,,,1,5,47,11053
12.507,29.99000666,5.61,91,,,0,5,47,10242
12.705,29.99000666,3.729,92,,,0,5,47,8820.5
12.837,29.99000666,5.082,93,,,1,5,47,9982.6
12.87,29.99000666,1.353,94,,,0,5,47,8329.3
13.332,29.99000666,7.656,95,,,0,5,47,10790
13.299,29.99000666,14.52,96,,,1,5,47,9864.6
13.563,29.99000666,16.863,97,,,1,5,47,7869.9
13.53,29.99000666,10.098,98,,,0,5,47,13970
13.629,29.99000666,9.372,99,,,0,5,47,11938
13.728,29.99000666,10.791,100,,,0,5,47,11747
13.893,29.99000666,5.082,101,,,0,5,47,9342.1
13.959,29.99000666,6.468,102,,,0,5,47,10394
14.454,29.99000666,0.726,103,,,0,5,47,7866.7
14.388,29.99000666,4.29,104,,,0,5,47,9666.7
14.388,29.99000666,14.355,105,,,1,5,10,9026.5
14.652,29.99000666,10.626,106,,,0,5,10,12585
14.751,29.99000666,8.58,107,,,0,5,10,10940
15.279,29.99000666,8.91,108,,,0,5,10,10915
15.477,29.99000666,7.26,109,,,0,5,10,10227
15.576,29.99000666,8.712,110,,,0,5,10,10835
15.642,29.99000666,9.537,111,,,0,5,10,10839
15.873,29.99000666,12.606,112,,,1,5,10,10361
16.401,29.99000666,4.356,113,,,0,5,10,9306
16.368,29.99000666,10.923,114,,,0,5,10,12200
16.599,29.99000666,9.24,115,,,0,5,10,10975
16.83,29.99000666,10.032,116,,,0,5,10,11049
16.929,29.99000666,7.722,117,,,1,5,10,11117
16.929,29.99000666,6.237,118,,,0,5,10,10655
17.391,29.99000666,6.996,119,,,1,5,39,10207
17.919,29.99000666,9.108,120,,,0,5,39,10932
18.117,29.99000666,16.896,121,,,1,5,39,7971.4
18.084,29.99000666,8.481,122,,,0,5,39,10621
18.381,29.99000666,7.326,123,,,0,5,39,11174
18.645,29.99000666,7.722,124,,,1,5,40,9662.3
18.48,29.99000666,13.794,125,,,1,5,40,9333.3
19.008,29.99000666,10.131,126,,,0,5,40,9762.5
19.14,29.99000666,10.824,127,,,1,5,40,9430.9
19.305,29.99000666,4.554,128,,,0,5,40,9432.7
19.239,29.99000666,8.613,129,,,0,5,40,10097
19.272,29.99000666,16.896,130,,,1,5,40,7914.6
19.338,29.99000666,16.038,131,,,1,5,40,7255.8
20.031,29.99000666,5.775,132,,,1,5,40,9762.5
20.163,29.99000666,8.811,133,,,0,5,40,9939.8
20.229,29.99000666,10.395,134,,,0,5,40,9675.3
20.691,29.99000666,13.134,135,,,1,5,40,9593.8
20.856,29.99000666,3.465,136,,,1,5,40,8801.2
20.889,29.99000666,16.632,137,,,1,5,40,6098.4
21.12,29.99000666,6.237,138,,,1,5,40,8084.8
22.308,29.99000666,10.461,139,,,0,5,40,7959.9
0.165,29.98001332,12.441,1,,,1,5,40,10769
0.132,29.98001332,5.841,2,,,1,5,40,9140.8
0.264,29.98001332,3.663,3,,,1,5,40,8209
0.396,29.98001332,9.537,4,,,1,5,40,12398
0.594,29.98001332,6.105,5,,,1,5,40,9122.2
0.66,29.98001332,1.518,6,,,1,5,40,9765.8
0.825,29.98001332,16.533,7,,,1,5,40,8531
0.891,29.98001332,4.356,8,,,0,5,40,9975
0.891,29.98001332,2.508,9,,,1,5,53,8744.8
0.99,29.98001332,8.283,10,,,1,5,53,10975
1.023,29.98001332,11.22,11,,,1,5,66,11909
1.188,29.98001332,8.91,12,,,1,5,66,11065
