Cell#1,Cell#2,Cell#3,Cell#4,Cell#5,Cell#6,Cell#7,Cell#8,Cell#9,Cell#10,Cell#11,Cell#12,Cell#13,Cell#14,Cell#15,Cell#16,Cell#17,Cell#18,Cell#19,Cell#20,Cell#21,Cell#22,Cell#23,Cell#24,Cell#25,Cell#26,Cell#27,Cell#28,Cell#29,Cell#30,Cell#31,Cell#32,Cell#33,Cell#34,Cell#35,Cell#36,Cell#37,Cell#38,Cell#39,Cell#40
4.1944,13.6584,0,0,0,0,0,0,0,0,32.4724,0,0,0,0,0,0,3.5626,0,8.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.2792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.091,0,0,0,0,0,0,0
17.2,0,4.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,8.5624,10.6134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3.4634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.4028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8048,0,0,0,0.3914,0,0,0,0,0.2258,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,7.4654,0,0,4.8076,0,0,0,0,0,9.9022,1.709,0,0,0,0,0,0,0.1902,0,1.3536,5.3216,0,0,0,0,0,0,0
2.4444,4.536,0,0,0,0,3.0714,0,0,0,0,0,1.402,0,3.251,0,0,0,0.8478,0,0,0,0,0,0,0,0,2.7822,0,0,0,2.9218,0,0.012,2.3114,0,0,0,0,0
11.2946,0,0,0,0,0.5864,0,0,0,0,0,6.5166,1.1326,0,6.5784,0,0,3.4938,4.716,0,0,0,1.0144,0,0,5.3938,0,0,0,0,0,0,11.7468,4.0784,7.4542,0,3.1342,0,0,8.9262
0,0,0,0,1.9606,0,4.8174,1.4972,0,0,0,0,3.7884,3.2138,12.4902,0,4.627,1.4562,11.8932,5.2562,0.066,10.5024,0,0,7.4096,4.5406,0,0.092,0,0,0,1.8058,5.357,0,13.043,11.1574,0,0,2.1958,0
33.5056,5.25,24.2814,0,0,3.0358,5.2112,0,0,0,0,0,0,0,0,0,4.7174,4.0832,8.2454,0,0,5.7048,0,0,5.4094,0,0,0,0,0,0,0,13.7596,0,4.6286,0,6.7458,0,0,10.7644
0,0.325,1.3248,0,0,0,0.654,0,0,0,0,4.5952,0,0,0,0,0,2.4312,0,6.3292,0.9176,0.0572,0,10.7804,0,5.5032,0,0,0,2.8756,0,0,0,0.319,0,0,0,0,0.9022,0
0,0,0,8.2338,0,0.5482,0,7.6314,0,0,0,0,0,0,0,3.5942,0,0,0,1.498,3.7238,2.8048,1.882,0,0,1.85,0,0,2.9324,0,0,0,0,0,0,2.7016,3.9514,0,1.4916,0
0,4.5472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0,0,3.698,0.0638,0,0,0,0,0,0,0,4.479,0,0,2.9942,0,0,0,5.5018,0,0,0,0
0,5.4222,4.1188,2.8854,0,2.0338,0,0.357,3.4406,0,0,0,0,0,0.6078,1.3404,0,0,1.7342,0,1.132,0,0,0,0,0,0,0.2708,0,0.7158,0,0,7.443,0.8668,0,0,6.6086,0,0,0
0,0,0,0,0,3.917,0,0,0,0,6.0396,0,1.127,0,0,3.4538,0,0,0,5.9062,0.371,0.2904,0.1302,2.6232,0,0,2.2988,0,0,9.061,0,4.971,0,0.5168,0,9.918,0,0,0,0
5.889,0,0,0,12.0624,0,2.189,2.2284,4.1834,0,0,0,0,2.9556,12.6294,0,6.5942,0,9.3842,0,0,0,0,0,0,0,0,0,0,0,0.0536,1.974,0,0,6.3656,0.9378,3.26,0,3.877,0
33.5444,0,33.1688,0,0,0,0,0,0,0,0,0,3.7672,0,8.1352,0,4.2308,0,0,0,0,0,0,0,1.4834,0,0,0,0,5.122,0,7.1914,5.967,11.3404,0,1.0392,0,3.8902,0,4.869
8.8168,0,19.5188,0,10.4108,0.4338,0,8.8172,1.645,0,0,6.9954,0,7.225,17.3214,0,0,4.9062,9.834,2.0624,8.8598,0,0,5.3178,12.0668,0,0,0,0,3.5916,1.9554,1.7856,17.7038,0,3.2658,0,12.2744,1.2772,0.7916,3.943
17.7668,0,0,0,0,1.9124,0,3.3858,0,0,0,0,5.0212,0,0,0.2614,0,0,0,9.4022,0,10.3046,0,3.1624,0,1.797,3.0708,0,0,1.5,0,0,3.4178,1.0118,0,0,0,0,4.6542,0
0,2.4528,0,4.9708,0,0,0.9922,1.8514,0,0,0,0,0,2.1418,0,0,0,0,0.909,0,0,2.9334,0,0,0,0.8406,0,4.2936,0.8294,0,0,0,0,0,0,0,0,0,1.7666,0
0,10.6556,8.825,2.9864,0,0,0,0,0,0,0,0,1.825,0,0,0,0,0,0,0,2.6866,3.4286,0,1.3126,0,7.8906,0.324,4.3628,0.7572,0,0,0,0,4.6142,0,3.0786,0,0,0,8.231
0,0,0,2.8202,5.6536,0,1.946,0,0,2.162,1.174,0,0,0,0,3.0442,0,0,5.4318,2.4166,0,0,0,0,0,0,0,8.1354,0,0,0,0,0,0,0,0.0264,0,0,3.123,0
9.8,0,6.15,0,0,0,2.1492,0,3.3624,0,0,0,4.2462,0.0694,0,2.725,0.4,0,0,0,0,0,5.2716,0,0,0,0,0,0.4694,0,0,0,5.2558,0,4.4572,2.7802,0,3.7396,0,5.5308
0,0,3.4312,0.4226,0,0,8.7476,0,5.57,0,0,0,12.7712,0,4.8666,0,7.2404,0,5.8978,0,1.268,0,2.2394,5.6876,0.388,0,0,0,0.8,0,0,1.3158,0,0,4.9258,5.2524,0,2.3988,0,1.2952
20.6666,0,22.8688,0,6.1018,3.0898,0,0,1.3504,0,0,0,57.0828,0.8916,16.0492,0,10.3654,14.3022,3.1592,0,7.429,0,0.291,0,1.8524,0,2.6632,0,5.499,6.0012,1.6232,2.4638,21.1012,0,6.2856,0.5376,7.6142,5.4868,2.15,16.493
12.2,0,0,0,9.0322,1.5482,5.1984,0.56,3.0992,1.8584,0,0,45.254,8.7806,15.3374,1.5462,9.8134,0,12.1954,0.1376,6.1836,7.188,6.3466,0,15.6594,0,0,0,0.7972,2.6414,0,0,9.2608,5.1644,9.42,0,1.7114,0,4.6896,0
19.5278,4.2222,11.9562,2.8112,0,2.0606,0.0286,7.6944,0.2828,0,3.4398,9.9,38,9.475,6.9294,0,0,8.7022,10.2432,2.8084,1.7278,1.8714,0,0,8.357,1.1656,2.0202,0,2.358,1.5268,3.1,0,23.6912,5.4952,14.6544,0,2.423,0,2.627,7.1476
0,4.9194,0.7624,6.9752,7.2804,0,0,8.5058,0,2.2308,7.3104,0,30.5808,0,0,0,0,0,0,6.4854,2.7958,12.0762,0,8.3394,1.0406,2.7032,5.9014,7.6612,0,3.7404,0,0.4726,0,5.4192,0,0,0,0,1.7668,0
0,5.0278,0,3.2066,0,0,0,0,0,6.2334,2.581,0,12.375,4.8612,0,5.7924,0,0,0,4.1292,1.868,2.3214,0,0,1.419,0.2718,0,5.4596,0.441,1.1916,4.041,0,0,0,0,0,0.5,0,3.4542,0
0,3.1,3.575,6.9348,0,0,0,10.3828,0,0,2.0326,0,0,0.05,0,2.348,0,0,0,0,0,0,2.8858,2.309,8.6596,2.2,0,3.9306,0,0,0,0,0,2.319,2.9658,0,0,0,3.1626,0
0,4.5168,0,2.0584,0,0,0,0.3086,0,0,0,0,0,0.1026,4.0784,6.7134,0,0,1.8318,0,0,0,2.7678,0,0,6.9408,3.319,2.1144,0,0,3.4142,6.8262,0,0.9262,0,7.7836,2.3228,2.9362,0,1.8952
3.8222,2.3694,3.9688,0,3.6928,0,0.4398,4.66,0,2.965,0,0,0,0,0,0,3.8654,5.0708,0,0.648,0,4.6476,4.716,6.6482,0,0.4094,4.3772,10.566,3.0752,5.6646,0,4.7246,0,9.212,0,9.3376,0.197,4.724,0,0
0.3666,3,1.475,1.5708,2.9554,0,11.0016,0,10.2166,0,0,0,0,7.8554,11.4784,0,2.0404,6.1188,10.4932,10.85,0,0,0,0,1.9428,0,0,0,0,2.7146,0,0,0,0,14.0828,0,0,1.3218,5.125,15.7382
31.5722,4.6944,20.8624,0.1282,0,0,0,8.9714,2.8286,0,0,8.0048,0,2.6306,0,0,0,0,0,3.2626,0,7.7428,2.1698,0,6.943,0.4906,2.3166,0,0,0.0646,0.2698,4.9044,7.0886,5.9952,3.4428,1.7902,0,0,0,8.6024
0,0,0,0.528,0,0,0,0,0,1.543,0,0,0,2.5972,0,0,0,0,0,1.8272,0,2.031,0,0,0,4.672,2.5644,1.2742,0,2.2122,0.584,5.3188,0,1.9596,0,0,0,0,0,0
10.5222,2.0082,1.4374,2.0316,0,0,0,4.7172,0,0,0,0,0,0,0,0,0,0,0,7.2104,0,7.212,0,4.0536,0,4.128,0,0.1356,0,3.2818,0,0.8232,0,0,0,0,1.1458,0,0,0
0,2.3584,0,1.6472,0,3.6494,3.0062,0,6.6812,3.403,0,0.319,0,6.0528,0,2.6902,0,0,0,0.1936,2.1382,2.5952,0,0,3.9906,1.2032,0,0,0,0,0,0,0,0,0.1514,0,0,0,0.979,0
7.4668,0,3.1564,0,0,4.4112,0,9.3658,0,0.1182,3.8534,1.7214,3.229,2.2306,0,2.4692,0,0.398,0,0,1.3878,12.476,3.85,0,3.8476,10.9468,0.6076,0.1886,0.2914,0,0,1.7972,8.3114,1.6596,0,5.4262,3.6942,0.6132,0,0
0,2.1834,4.9062,1.1684,5.657,4.6,1.7126,0.8742,0,3.6628,0.7672,0,0,0,4.2314,9.95,0,8.1396,4.5342,5.4,8.3814,2.7262,0,6.2448,0,10.3968,0,4.3082,0.921,0,1.6106,0,7.848,6.6548,3.1916,0,0,0,7.273,6.2834
14.9444,11.4028,28.7624,1.3506,5.8696,8.8786,4.8206,6.18,19.1626,0,1.7534,7.6716,0,3.0084,20.9254,0,12.4654,6.8542,10.8206,5.0896,8.6206,7.0382,7.9428,0,14.1548,9.8938,0,0.5388,2.5334,0,8.4732,0.6638,21.5316,0.3762,9.5314,4.9836,8.643,5.6628,1.0208,13.869
0,4.6722,2.1188,0,0,1.2336,0,0.6,1.2888,10.4526,7.2138,12.3454,2.5172,1.089,0,0,0.7828,5.9354,2.8932,2.348,11.3588,12.6642,5.9214,5.157,5.2978,7.0344,4.1848,0,2.9972,3.7842,0.2034,9.8898,1.5012,9.4048,0,8.3278,0,0,6.15,9.281
0,2.861,0.1562,6.0764,2.6162,0,0,1.5742,6.3518,0.3854,0.457,3.0048,0,2.2972,0,7.6444,0,0,11.5456,5.548,6.5258,4.1596,2.259,2.1554,0,10.603,2.5342,4.1082,0,1.1672,1.7428,14.655,2.7062,0,5.16,10.1968,4.223,0,0.5626,0
0.9222,0.314,0,12.9034,3.9376,0,6.384,1.2142,6.1774,0,0,3.6692,4.9364,0.3278,0,3.0654,0,0,4.0546,4.4208,1.773,0,8.3054,7.325,0,0,4.2988,9.2824,2.3018,3.4268,0.5374,0.1594,0,0,0,0,0,4.4614,8.4292,0
0,3.4082,0,6.0406,3.2108,5.4022,0,0,4.749,0,1.281,3.2476,0,2.6084,0,0,4.4,3.9646,4.2454,0,4.4764,0,0,0,9.4666,0,0,1.1742,0,1.844,1.9644,11.8232,0,0,1.0684,0,3.3744,4.4338,1.4728,0
0,0,4.8562,1.0248,0.2482,0,1.9778,0,0,0,0,0,0,0,0,7.1038,0,0,2.0136,1.7978,0,1.1094,0,5.1,1.869,0,1.3418,0.179,1.2808,8.2866,0,0,0,0.75,0,1.3868,2.9314,1.4674,0,0
0,0,15.1124,0,3.3928,0.8406,0.2984,0,3.1142,0,0,0,0,1.3,9.5588,0,0.971,0,8.7954,0,2.4392,0,0,0,0,0,0.2632,6.3452,0,0,4.1858,0,10.562,0,0.8344,4.9606,8.3886,10.1216,0.3896,0
14.5832,6.9,9.6938,0,0,0,3.619,0,0,0,2.6086,0,0,0,0,0,0,0,0,0,0,2.4096,0.1214,0,0,0,6.4,0,2.479,0,0,0,0,1.088,0,0,0.7314,5.095,0.1334,0
0,0,0,0,0,5.6404,0,0,0,2.305,5.2672,5.1976,0,3.4806,6.798,0,2.3154,9.9186,10.8568,9.6708,0,0,0,0,0,0,0,0,0,1.7584,1.4964,2.7564,0,5.3452,5.4742,11.2198,2.3828,0.5374,0,0
11.9,0,9.0562,0,1.3822,0,0,3.6058,0,1.4994,0.3706,0,1.6134,5.8,0,0.85,0,0,0,0.8166,1.3628,10.8118,2.793,4.6018,0,4.3782,0.6784,0.9466,0,6.6548,2.3892,0,2.5164,0,2.16,7.1574,2.56,0,1.9752,6.1762
5.9832,0,0,0,0,3.4158,0,5.88,0,4.6176,1.9812,3.6286,0,3.2112,0,0,2.4212,0,0.409,0,0.0206,0,0,0,0.7832,0,7.1948,3.7774,0,0,0.2964,3.8464,6.3696,6.0904,0,5.2328,0.697,1.182,4.2126,4.3808
17.6832,0,0,0,0,4.982,0,8.0458,0,0,0,13.3168,0.6712,4.6388,0.9236,2.6346,1.1962,6.4958,0,0,3.5772,0,0,0,3.3142,2.65,1.0406,0,0.1494,0,0,0,8.0254,1.881,3.8428,3.305,0,0,0,10.3976
11.8778,0,1.4062,0,8.318,1.355,0,4.0544,8.266,1.3446,0,0,0,2.4306,16.0274,0,7.6636,5.8604,7.1454,0,3.0474,0,0,0.0072,8.2358,0,0,0,2.9296,0,5.5714,7.029,11.2076,0,5.0628,0,0,3.8676,8.5332,9.0524
3.3222,0,0,0,2.1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9952,0.2814,8.9088,0,0,0,0,0,4.3494,0,0,0,1.6458,0,0,0.1358
0,0,0,0,1.5624,0.7302,0,0,0,0,0,0,1.9924,0,0,0,0,0,0,0,0,0,0,0,0.131,0,4.1444,0,0,0,0,0,0,0,0,0,1.9314,0,0,0
0,0.5862,0,0,0,0,0.5254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9738,0,0,0,2.4532,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,10.054,0,0,0,0,0,3.6322,0,0,0,0,0,0,0,0,0,2.8374,0,0,0,1.8124,0,0.3844,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6.3938,0,0,1.937,0,0,0,0,1.357,0,0,0,0,0.952,0,0,0,3.425,0,0,0,0,0,0,0,4.6792,0,0,0,0,0.8634,0.0786,0,0,2.5484,0,0,0
5.3444,0.5112,9.825,9.3212,0,0,0,0,0,0,3.5016,0,0,0.4084,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2904,3.182,0,3.7874,4.629,0,0,0,0,0,0,0,0
0,0.975,9.85,0,0,0,4.3826,0,0,0,0,0,0,0,0.7098,1.1134,0,0.7396,6.8978,0,0.6124,0,0,0,0,0,0,0,0,0,0,5.6754,1.329,4.331,0,0,0,0,0,0
0,0,2.2376,0,0,0,4.719,9.66,4.8602,2.2014,0,0,3.7712,0,15.1098,0,0,0.4228,3.9182,0,0,2.8714,2.5858,0,2.788,0,1.5824,0,0,1.0708,0,0,17.043,0.662,8.5344,0,0,0.689,0,4.4904
19.6722,0,9.8938,0,0,0,0,9.2428,9.451,0,2.812,0,0,4.2694,13.3686,0,0.5904,0.5542,2.5364,0,0,0,0,0,4.6786,0,0,3.2274,0,4.8682,1.4982,0,0.9138,5.1762,3.88,0,4.4258,2.047,0,7.35
5.7166,0,0.5,0,0,0,0,2.0914,0,0.3766,0,0,5.352,0,0,0,2.6578,0,4.2772,0,0,4.181,4.0178,0,0,0.3406,4.6886,0,0,0,0,0,0,0,0,0,0,0,0.1728,0
4.4834,0,0,0.8,0,1.0966,0,4.7856,0,1.222,0,0,0.6056,0,0,4.3268,0,0,0.5206,1.8104,0,0,5.1196,0,1.774,2.8624,0,0,0,0,0,0,0,3.3976,0,0,0,1.9482,0,0
9.4612,0,0,2.9258,0,0,0,15.8372,0,0,0.7396,0,5.1308,0,0,0,0,0,0,0,0,13.1166,0,3.859,0,0,1.5772,0.2694,0,2.1158,0,0,0,0,0,9.577,3.3484,0,3.0896,0
0,2.714,0,7.3192,0,0,0,0,0,0,0,0,0,2.789,0,0,0,0,0,3.4728,3.8968,0,0,0,0,2.2342,0,5.6484,3.1496,0,0.209,9.487,0,0,0,14.0918,0,0,0,0
0,0,5.15,0,1.5608,0,0,0.1686,0,0,0,0,5.5654,0,0,0,0,0,1.734,0,1.5196,15.288,6.7232,0,0,0,0,0,0.9028,0,0,2.3884,8.4076,0,0,10.7804,0,0,2.6168,0.1358
0,7.1028,0,1.9056,2.7232,0.319,10.7064,9.903,1.4646,0,0,1.7524,0,7.3832,4.7626,4.4942,0,6.9896,0.9136,7.2312,6.1196,0,0,0,0,3.6626,0,0,0,1.25,0,0,6.2938,0,0,0.5082,1.3572,1.5422,2.452,0.0856
0,0,0.6188,0,0,8.1932,3.4666,0,1.0226,0,4.331,8.0048,5.4096,5.875,0,0,0,0,3.7886,0,2.0888,7.1428,0,1.7606,0,0,0.238,3.729,2.9828,0.0682,2.884,4.8494,22.9114,0,0.9856,0,6.2572,0.1458,7.1792,5.0142
0,0,11.9124,4.1192,12.6516,0,0,4.0058,12.3698,2.5562,0,0,9.1846,11.9388,21.249,1.6096,5.8038,1.2458,11.7136,5.2396,0,1.4596,0.518,0,7.55,0,0,2.1968,0.4476,3.1012,9.5714,1.5624,18.0456,2.4906,7.1772,0,0,0.688,0,9.331
21.8944,0,20.1562,0,5.3536,3.29,0.6128,2.9258,0,0,3.1224,0.9476,8.0884,5.6416,0,0.8732,0,10.127,5.4886,0,5.8206,1.3238,0,0,6.9072,0,4.7772,0,0,0,7.1696,0,41.2962,4.4238,2.72,0,3.0458,3.4806,0.1124,6.3166
2.75,5.95,4.2812,3.6742,7.5552,4.236,4.1428,0.017,1.418,5.2132,1.9794,4.9334,4.8904,0,0,5.021,2.5136,2.0916,0,9.725,7.3258,0,0,6.1946,0,4.7718,5.3014,0.779,0,2.6646,0,3.3768,0,0,2.6486,0,0,5.265,2.5666,0
14.1166,3.0112,0,12.3594,11.1446,1.3888,0,0,0,4.3372,9.1948,0.3738,8.6826,0,0,0,0,0,0,11.0314,9.2,7.3572,0.4928,5.0286,0.0262,0,0.443,9.963,0,4.2622,6.318,2.9828,1.2582,0.6668,0.5228,7.7508,0,4.6808,0,1.5668
0,11.1,0,6.4584,8.3822,0,6.4192,1.777,0.1624,5.365,1.9724,0,3.9924,0,0,3.6462,10.2404,0,0,6.475,8.1422,0.3144,4.2358,4.5554,8.693,0.2,4.1368,6.9322,0,3.878,5.5518,9.342,0,7.819,0,11.5278,0,0,0,0
12.8834,6.9722,0,3.2292,0,9.9506,1.0334,0,2.3684,0,0,8.1524,0,5.2806,0,0,0,4.6292,0,0,9.4082,0,2.7946,0.9554,1.0404,7.2468,2.0026,3.658,0.5648,2.5512,0,0.3682,0,7.3142,10.537,0,5.4028,0,5.1188,3.1118
0,9.5028,0,1.9842,0.1018,0,0,2.0884,0,4.8408,5.0896,3.338,1.3326,0,0,0,9.3654,0,0,0,0.2558,4.5714,3.3126,0,2.2596,2.4812,3.2682,8.9854,2.659,9.6208,0,2.8638,0,1.4334,3.58,0,0,0,0,0
0,7.5444,2.3062,1.3954,0,4.6876,9.5588,0,0,0,5.1188,1.0714,40.9154,17.9834,10.7902,0,0,0,18.05,0,4.1134,0,0,0,12.0024,6.6532,0,0,6.2828,3.8732,0.6162,0,5.9824,0.6928,13.2286,0,5.3172,0,13.4376,1.4834
5.55,8.5972,9.5624,0,2.759,2.191,4.2316,4.1172,0,25.9052,0,12.4594,45.8386,10.5972,3.8058,1.3672,5.8402,4.1728,4.6046,0,3.5092,10.5096,2.9144,1.7802,7.0668,17.3906,2.6708,0,6.7734,1.6024,0,3.568,1.529,5.4856,14.6944,1.3606,4.1858,0,14.7646,5.5332
20.4112,10.6222,9.0438,8.4406,1.559,5.7012,0,0,0,15.4554,0,0.1476,32.8288,11.4056,13.4216,1.5922,0,8.023,5.1432,4.5416,5.8,3.8,0,0,0,10.1312,1.205,1.421,1.0162,3.572,0,1.9478,20.9568,2.1644,11.5458,0,0.5314,4.553,14.3166,8.3284
1.0722,5.314,0,6.3168,10.3554,0,0,0.8884,0,13.5184,1.731,0,31.5154,0.4388,0,0.1058,0,0,0,0,2.1444,6.0762,4.666,3.4892,0,5.0562,6.6,3.2162,0,0,0,2.6926,0,0,0,10.1476,0,0,7.1604,0
0,1.5278,0,13.6382,5.507,1.827,4.6588,0,0,12.0832,0,1.1668,27.3694,2.6834,7.4744,8.6904,0,1.3416,10.1862,1.4772,2.7236,3.6358,0,4.3608,1.9546,7.1594,0.0532,2.9338,0,0,0,0,0,0,0.1944,1.4,0.5314,3.3338,9.604,0
11.9556,4.0556,2.3,0,0,0,0,11.94,0,15.0626,0,4.2238,0,0,0,0,7.2636,0,0,9.0792,0,7.35,5.1,0.8696,0,0,0,7.2146,0,0,3.8714,9.6202,8.562,8.0192,0,8.1672,0.3314,1.365,0,6.281
0,0,0.7062,0,0,0,0.289,2.3314,7.1054,0,2.962,0,0,0,3.347,3.1192,0,0,0,0.148,0,0,0,0,4.8404,0,0,0,0,0,0,0,1.476,0,0,0,0,4.8134,0,0
0.1056,0,0,0,0,0,0.3636,7.2028,3.5806,0,5.9534,0.0286,0,3.0166,0,0,1.6596,0,0,0,0,1.7262,1.2214,0,0,0,0,0,3.7934,0,3.5126,0,7.8886,0,0,5.1278,4.64,0,0,3.881
0,0,2.7624,0,4.975,0,0,4.683,5.1278,0,0,0,0,6.2194,19.896,3.0462,7.8694,2.2876,14.025,0,5.5732,0,0,0,5.9238,0,0,0,3.7448,0,5.8232,0,7.3292,10.2904,8.0372,1.0524,0.4628,4.4446,0,5.581
32.0612,0,16.3,0,0,1.6494,0,0,0.97,0,0,2.788,0,6.0056,0,0,0.0384,5.2314,0,0,0,0,0.5108,0,3.0668,3.1438,1.509,0,1.2744,0.828,2.5572,6.0144,21.4482,3.0738,0,5.4032,1.5514,0,0,5.138
0,1.286,3.6376,0,10.116,1.7662,0,0,7.4768,0,5.0052,0,0,0,3.8844,0,0,4.9916,4.2568,0,2.6,0,0,2.175,2.9738,0.4188,1.9442,0,0,0,0,0,1.3038,0,0,0,0,0,0.3042,0
3.0112,1.1832,0,2.591,0,4.3056,0,0.4,0,0,0,4.7072,0,0,0,4.852,8.1346,0,0,1.7582,7.2804,1.5144,4.0178,2.409,2.7238,6.4906,3.3392,0,3.0714,0,0,5.3738,0.8658,0,3.4828,0,5.7514,0,4.0916,0
0,0,0,7.283,8.1856,0,0,0,0,0,4.8206,4.4286,0,0,0,0,0,0,0,2.7834,0,0,0.2428,11.1698,0,5.0594,1.005,1.4806,1.2772,0,0,0,0,0,0,0,0,6.482,2.7918,0
0.1944,0.5444,14.825,0,0,0,0,0,0,0,0,0.7856,0,0,0,0,0,0,0,0,0,0,2.4412,0,4.3618,5.1468,6.9418,0.4354,0.0762,3.8464,0.0178,0,3.4126,0,0,0,6.12,0,0,2.669
0,0,0,6.072,0.1216,0,0,1.4314,0.9068,0,0,0,0,0,0,0,0,0,0,1.875,0.167,0,0,7.0678,0,0,0,0,0,0,2.4858,0,0,0,0,0,0,2.7206,0.4916,0
0,0,0,0.1932,0,0,0,0,0,0,0,0,0,0,0,0,1.1942,0,0,0,0,0,0,0,0.688,0,0.3216,0,1.2142,0,0,0.7856,0,0,0,0,0,1.8264,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,5.8638,8.843,0,0,0,0,0,0,0.9262,0,2.5822,0,0,0,0,0,1.1426,0,0,0,0,0,2.7772,0,1.1204,0,2.8452
0,0,7.6938,0,0,0,0,0,3.4436,0,0,0,0,9.5638,4.6786,0,0,0,7.3182,2.6728,0,0,0,0,2.6858,0,0,0,0,6.0646,0,0,4.3366,1.6476,5.1142,0,0,0,0,8.15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6332,0,6.0116,0,0,0.1334,0,0.6738,0,4.7518,0,0,0,0,0,0,0,3.9942,0,0,0,0,0,0,0,0
0,0,0,0,0,1.899,4.9524,0,0,0,0,0,0,0,0.7646,0,0,0,0.4046,0,0,0,0.3464,0,0.8144,0,0,0,2.9514,0,0,9.0464,1.5494,0,0.16,0,1.9172,0,0,0
0,0,3.9,0,0,0,0,0,0,0.7636,0,0,0,0,0,0,0,8.4,0,8.2166,1.361,0.5024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6936,0
0,1.9362,1.3814,8.0202,0,0,1.1254,0,0,4.6556,0,0,0,0,6.202,0,0,0.0936,5.2706,0,0,0,0,0,0,2.4968,0.319,1.8694,0,0,0,0,0,3.6,0,0,0,0.1964,0,0
0,0,0,0,0,1.4608,0,14.0258,0,0,0,0,0.4,0,0,0,4.4192,0,0,0,6.169,5.5786,0,0,5.0904,2.9374,0,0,0,0,0.9392,0,6.19,0,0,6.5082,1.9,0,3.973,0
0.2944,0,5.5,0.3956,0,0,0,0,0,0.9854,2.9276,0,0,5.4168,0,0,0,0,5.2796,0,0,0,0,0,3.2048,0,1.8076,0,0,0.6914,0,0,1.071,7.4762,0,0,0.0316,0,0,0
7.05,0,0,0.7078,0,0,0,4.7256,1.7654,2.797,0,0,2.1576,0,0,0,0,0,1.759,0,1.2392,0,4.4126,0,5.1548,8.0844,1.9518,3.245,0,17.5622,1.007,0,3.6988,0,0,0,7.9286,1.5252,0,6.3048
0.6332,0,0,3.7504,0,1.481,0.4428,4.963,11.4452,0,0,0,2.3654,2.8638,6.7392,7.2884,3.8096,0,11.6818,0,0,0.4048,1.9108,5.2768,0.193,0.5282,0.1114,1.1032,0,25.6428,0,0,8.5138,7.3262,8.1542,0,0.6658,0,0,7.8714
18.5,4.5138,0,0,0,1.0562,0,0,0,0,0,3.5144,0,3.2332,0,1.9232,0.427,0,0,0,0.2432,0,8.3124,0,4.3644,0,0.2912,0,2.0106,8.6524,0,7.4666,18.7924,2.3524,2.4314,0,9.2286,0,3.5792,0
0,0.95,0,0.809,0,0,2.181,0,1.3008,0.7212,0.1672,2.9,0,0,0,0,0,7.602,0,4.5542,7.1238,6.5046,2.5858,6.859,0.3714,6.1564,0,0,0,6.2462,0,11.5276,0,0.1952,0,0,2.5228,3.0916,0,0
10.7612,5.3278,0,0,1.5572,1.0586,3.9412,2.56,0,0,0,1.7978,3.1058,0,0,6.6576,0.2174,2.2334,0,0.523,0,6.9452,0,0,0,8.0282,6.995,0,2.5638,7.111,2.4322,5.6,0,0,1.8856,2.7376,0,0,0,0
0,1.1916,0,0.6786,1.1126,4.4022,0,0,0,0.1474,2.2828,0,0,0,0,0,0,0,0,1.25,0,11.5284,0,7.3286,0,0,0,1.7888,0,0,0,0,0,2.55,0,0,0,0,2.9,0
0,0.0444,12.6,0,0,2.2134,0.011,0,0,4.1868,2.207,0,0,2.5694,0.151,0,0,0,0,0,0,1.0786,1.5804,0,2.4024,0,1.4304,0,1.22,0,0,6.716,7.0278,0,0,2.1966,4.857,4.6904,0,0
