Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12,Cell 13,Cell 14,Cell 15,Cell 16,Cell 17,Cell 18,Cell 19,Cell 20,Cell 21,Cell 22,Cell 23,Cell 24,Cell 25,Cell 26,Cell 27,Cell 28,Cell 29,Cell 30,Cell 31,Cell 32,Cell 33,Cell 34,Cell 35,Cell 36,Cell 37,Cell 38,Cell 39,Cell 40,Cell 41,Cell 42,Cell 43,Cell 44,Cell 45,Cell 46,Cell 47,Cell 48,Cell 49,Cell 50,Cell 51,Cell 52,Cell 53,Cell 54,Cell 55,Cell 56,Cell 57,Cell 58,Cell 59,Cell 60,Cell 61,Cell 62,Cell 63,Cell 64,Cell 65,Cell 66,Cell 67,Cell 68,Cell 69,Cell 70,Cell 71,Cell 72,Cell 73,Cell 74,Cell 75,Cell 76,Cell 77,Cell 78,Cell 79,Cell 80,Cell 81,Cell 82,Cell 83,Cell 84,Cell 85,Cell 86,Cell 87,Cell 88,Cell 89,Cell 90,Cell 91,Cell 92,Cell 93,Cell 94,Cell 95,Cell 96,Cell 97,Cell 98,Cell 99,Cell 100,Cell 101,Cell 102,Cell 103,Cell 104,Cell 105,Cell 106,Cell 107,Cell 108,Cell 109,Cell 110
0.66495,2.15131,4.58044,0.25114,4.85524,0.18556,0.01421,0.244,0.5044,1.26465,-2.5395,-2.72966,-0.85543,6.46368,3.11864,-3.9186,4.75035,-1.43981,-0.89245,4.98129,0.44634,-0.67613,0.73803,-2.35414,6.5772,4.28294,-0.72387,10.27148,6.70734,6.19513,3.347,0.54499,0.46543,1.48499,3.79663,1.39086,-2.24659,-3.60719,1.02945,0.73418,5.27616,1.7029,-0.99922,-0.84861,3.63253,2.27964,5.32953,-2.51618,-5.78916,-3.93229,12.85117,-1.01677,-2.22811,1.58636,2.79369,7.55091,-4.2362,-0.53015,-0.44586,8.14741,3.13986,3.0122,0.9817,4.56545,7.13442,2.10942,5.20835,2.96722,3.65515,4.40625,9.52647,0.01982,2.24095,2.39195,3.67237,-3.731,-5.14315,2.90279,8.40464,6.10902,0.72426,-4.8127,1.82594,5.67769,2.32693,10.9611,-0.72513,-2.25201,0.61061,0.79596,-1.33536,2.57052,1,-2.05952,1.3556,5.99192,5.4906,1.28889,-2.90921,-0.70677,5.59308,-5.87289,-2.45463,9.4447,8.84799,-0.89638,4.48385,0.13154,-1.13414,-2.00262
6.04205,10.59307,26.12738,23.85256,20.48521,11.18583,6.8968,19.17031,17.49675,-5.45655,-10.2322,-6.53572,-13.44946,21.96732,5.3133,4.91896,26.03864,-1.00309,-20.65714,27.89599,15.90234,9.8622,0.64377,-0.23093,19.0832,19.64825,-2.18461,50.24426,15.81896,20.42357,12.44056,8.37388,7.62861,5.32494,13.04288,1.96045,-5.8111,-12.25365,7.13914,4.22851,27.13615,-1.60115,1.43946,-5.0564,10.1376,18.32498,25.67837,-15.98282,-6.59658,-18.57534,22.06701,1.54941,-48.5388,15.73433,7.25942,44.61165,-17.84537,17.35844,-6.26592,61.13615,15.93189,0.37793,7.70751,9.12789,17.80297,10.32914,24.29978,10.66089,10.90168,24.25641,30.46461,2.0094,4.29367,16.39836,11.23014,-8.31737,-14.66176,13.71374,19.57332,6.71515,-2.45213,-34.36864,34.546,29.75112,16.49333,30.11614,6.84319,-17.18265,7.49204,8.15924,-2.77268,9.50387,1,-7.20213,3.27053,25.86073,37.50459,-0.47373,-2.03457,0.15068,16.03552,2.21016,18.67396,26.7399,47.77413,-3.8865,29.32527,4.16954,-10.14102,2.3759
33.26679,45.94276,101.41246,104.93719,70.52391,69.02506,21.20189,101.55617,102.68408,-14.83082,-23.19575,44.95222,-47.60023,36.16627,7.57521,63.99652,88.90104,-12.78063,-86.20107,103.81977,67.25188,78.06821,13.84712,35.889,46.99341,55.854,10.05998,170.7186,30.96147,68.46557,9.17421,35.94346,42.309,18.40632,37.39482,-15.64015,-9.53615,-17.55826,32.49181,30.25905,95.54782,-7.59167,47.48567,59.16734,46.89097,79.22453,68.6822,-47.80495,6.4487,-34.81227,-9.44485,44.15882,-172.82005,100.52117,6.46892,152.70463,-35.97171,112.64588,-13.53181,247.26212,66.52002,-31.42745,28.94092,28.66795,33.35056,37.65583,57.65689,48.69772,24.26343,69.70345,75.5129,-3.02907,6.35997,72.86759,16.22269,-9.44149,-9.18384,41.66758,22.45766,-40.97654,-20.49517,-101.18289,152.82087,135.87631,77.30208,51.87893,29.42728,-44.38581,30.93072,32.25606,4.03374,17.67348,1,-28.87226,13.79819,90.86124,146.00884,0.28226,11.89256,-8.16615,29.76196,90.68216,137.31792,95.09904,153.21639,8.29467,104.7984,39.7082,-2.64379,47.7233
28.35036,37.99389,80.12318,84.04142,54.26693,59.85623,14.41935,86.96235,89.7933,-8.51285,-1.44E+01,53.90575,-35.78322,1.77E+01,3.69715,60.2278,67.76911,-13.01091,-68.28139,82.04326,53.81507,70.92557,14.54429,37.04315,32.02476,39.77438,12.81194,131.14195,19.10685,53.7645,-1.54762,28.96285,36.94142,14.77182,27.38432,-17.9123,-4.81509,-7.1735,27.14087,27.66791,73.83185,-5.73848,48.36569,67.32538,40.81778,64.91546,48.22844,-33.48027,10.26531,-18.48845,-27.1802,43.6902,-130.69857,90.87492,-0.43989,116.48958,-20.22291,99.72545,-7.64583,198.62333,54.83048,-31.25012,22.69355,23.73503,19.77171,29.763,37.13147,40.84346,16.10587,48.79393,51.84338,-5.36087,3.26713,60.20003,6.77498,-2.7045,3.63734,30.7339,7.1884,-47.46004,-18.55585,-70.80008,123.26015,113.3252,64.91008,27.08682,23.19661,-29.15017,25.07887,25.26993,6.00276,9.66922,0.68656,-23.738,11.75557,70.29045,115.29186,1.37969,13.07187,-8.95194,16.85341,89.82118,123.28404,77.61658,113.66894,12.80669,81.18462,37.01099,7.79037,46.38351
0.84173,1.71471,1.29257,2.13307,1.6315,2.14161,-0.70055,5.31877,5.63656,1.67112,1.05403,7.83486,-0.28547,-1.2115,-0.33326,4.07875,1.9811,-1.04538,-1.01145,3.37503,1.8617,3.92997,1.89586,3.431,0.13935,0.39222,1.93292,4.5703,0.51738,3.70344,-0.63705,0.99477,2.71734,1.53502,1.16515,-1.6659,0.89174,1.13404,1.51878,2.02693,2.82966,0.02219,4.86722,7.52205,3.61593,2.6587,2.25786,1.72824,-0.12475,1.46427,-3.97126,2.4803,-2.25938,8.27167,-2.07604,3.16202,2.40975,6.31772,0.70221,8.21326,3.29963,-1.08987,0.79269,3.24271,0.20613,1.56263,-0.13894,1.65013,1.13875,-0.66786,1.52454,-0.9251,0.2335,2.65708,-0.74786,1.06815,2.57393,1.17055,-0.50148,-4.86531,-0.61714,2.09075,2.55796,4.89946,3.94404,-2.4833,0.60436,0.87548,1.68753,0.28717,-0.17415,-0.28854,0.38059,-1.2807,1.05371,1.76413,3.27313,0.50988,1.17511,-0.52461,-0.22238,7.26087,7.87316,7.01901,1.81129,2.34461,3.17812,2.48404,4.30936,2.87634
-0.27235,0.53476,-2.85515,1.47474,-0.13878,-0.16739,-0.66808,4.11806,4.39953,2.37583,2.12466,7.46071,0.57917,-1.23055,-0.8291,2.68287,0.91356,-0.00396,1.61723,1.25247,1.12764,1.67877,1.47871,2.40985,-1.27529,-1.1927,1.99366,1.41697,0.63487,4.00126,1.22082,0.46058,2.55744,1.97107,1.24776,-0.47943,2.4395,1.62729,1,1.15784,2.31129,0.49227,4.09492,5.37719,3.83804,0.1169,3.14419,5.27997,-0.14295,1.85733,-2.91335,0.08363,0.65467,8.25303,-2.4647,0.27288,5.20337,4.70191,1.39763,3.8486,2.11163,0.54972,0.33815,3.48068,-0.48173,1.74739,-0.59078,-0.02782,2.11524,-2.57093,1.50574,-0.51541,0.49088,0.76797,-0.24127,1.84448,2.34227,1.09399,0.51168,-3.8436,1.18239,6.20956,-1.93909,1.30731,3.80209,-4.05525,0.60405,1.82311,2.22987,-0.69186,-0.94091,0.00596,0.42351,-0.58761,1.50518,-0.3372,0.23866,0.21964,1.76511,0.94414,0.27052,7.31374,6.24488,7.62811,-1.14415,1.99822,2.24932,1.75782,7.07633,1.10833
-1.4476,-0.23896,-7.27067,4.70897,-3.1015,-2.25162,1.12763,4.96117,5.32003,3.16591,3.31351,7.68516,0.89856,-0.88558,-1.53809,1.57344,1.55655,1.33735,3.86066,-0.2848,1.81835,0.71073,1.12253,1.58814,-3.07161,-2.97677,3.2554,-0.13292,1.28947,5.73081,3.91399,0.63353,3.33032,2.54935,2.60898,1.54182,5.52648,3.04965,1,-0.0018,3.58611,1.6835,4.72187,3.8152,6.21263,-2.94692,5.99099,10.86087,2.41875,2.9397,-2.40901,-2.40066,2.04878,9.75932,-3.11674,-0.59451,10.13231,4.17304,2.78042,1.66821,0.81542,1.74133,0.23995,3.50706,-1.65236,3.72076,-1.39554,-1.41118,4.34287,-3.85478,2.85127,0.42167,1.08858,-0.93872,1.00543,3.40582,1.58912,1.77009,1.89811,-3.12596,4.16986,10.06251,-5.86124,-1.00832,5.95568,-5.41681,1.93379,2.31697,4.07792,-1.60931,-1.24064,0.38399,0.36835,0.17787,2.76837,-1.97054,-1.53749,-0.07503,3.55101,3.77515,2.05713,11.01309,7.31317,10.31613,-2.7914,1.98765,3.24922,1.50178,12.23808,-0.43726
-3.61657,-1.40369,-11.24622,12.20906,-9.98544,-3.98694,6.9738,7.04367,6.86765,2.79118,4.24685,5.51824,1.2569,0.35869,-1.46071,-1.14271,3.32012,2.1887,6.18,-2.29825,2.59875,1.42377,0.86878,0.43866,-4.80504,-5.34504,6.42778,-1.48736,2.9798,6.59901,7.07536,1.57545,3.93774,2.23614,5.63233,5.73157,9.85876,6.30249,1,-2.49407,4.62488,4.95203,7.35843,0.95536,10.57601,-8.22217,10.60503,16.76823,10.71335,6.96681,-1.29656,-4.70285,4.76286,7.65439,-3.65367,0.88355,16.51214,1.12625,4.19737,-2.01465,-1.69698,2.02645,0.191,0.95899,-2.55455,7.78466,-4.84915,-2.0431,7.02431,-3.01861,4.36386,3.06766,2.08631,-3.59587,3.07124,6.07085,-0.60643,2.76651,3.68807,0.55294,8.64568,11.9528,-10.10421,-3.03306,9.99717,-5.02691,5.59445,1.54838,6.63271,-2.69979,0.04227,-0.42826,0.06216,1.88181,3.7909,-4.35624,-3.82795,0.76473,6.74021,8.73068,6.47446,15.7641,8.02839,12.75404,-3.62096,2.88875,5.23754,0.29354,17.45738,-2.91455
13.83688,9.82777,10.56731,-37.03629,35.66925,-7.3725,-32.64685,-23.94968,-9.2098,10.17,-8.53863,2.26502,-4.64672,-10.74826,-9.02363,5.78878,-6.45759,5.41923,-13.00107,3.65657,3.60281,-17.15772,-7.00846,-5.66446,1.39041,14.04375,-21.54895,4.0576,-15.21021,0.6123,-12.14954,-9.69048,-3.9831,-0.97656,-18.19448,-21.1413,-18.16694,-24.27526,1,10.22907,0.25683,-27.56917,-36.86721,3.16419,-26.75356,24.97979,-27.57127,-9.83084,-57.09689,-40.1971,-4.61023,-0.10856,-31.49822,15.7535,3.12802,-19.5318,-28.2176,16.22827,1.39096,15.10519,-1.48484,2.13751,-0.12062,15.22049,-6.13542,-22.4257,27.57226,-4.35162,-8.88637,-1.62E+01,-3.3009,-20.25728,-7.19582,7.77125,-7.8233,-18.73021,-2.06874,-8.97216,-14.401,-23.65253,-16.88342,-12.70856,12.69969,1.77372,-31.16648,-0.25199,-24.27668,6.22694,-13.01975,3.03673,-9.78253,11.52029,0.34039,-7.83054,0.06944,11.86218,8.28819,-15.47645,-22.79683,-23.36879,-31.33119,-27.1822,-6.99833,-23.67193,-2.14481,-18.13415,-9.70668,6.64427,-17.0348,11.77258
17.16078,11.91483,17.04324,-47.05903,44.32205,-6.71302,-39.48213,-30.42988,-12.90551,10.43443,-11.70058,0.43551,-5.79339,-12.89417,-9.76567,6.84432,-8.65115,4.93199,-17.61829,5.3061,3.00933,-19.76584,-8.34987,-6.45843,3.5636,18.39698,-27.01093,5.4989,-18.4055,-2.21107,-16.92677,-11.86876,-6.14096,-2.24231,-22.98123,-26.29483,-24.6866,-30.25457,1,12.70219,-1.94011,-33.64422,-45.16665,3.47763,-34.99625,31.87843,-35.67381,-18.08041,-69.6806,-48.80771,-5.11293,2.07937,-38.30319,14.57547,4.54124,-22.85823,-38.91355,17.92958,-0.12317,18.16003,-1.11584,1.28901,-0.33503,16.75859,-5.81205,-28.67496,32.91377,-3.88073,-13.23557,-17.54402,-5.67345,-24.51916,-9.18394,10.11639,-10.36508,-23.76818,-2.75271,-11.6203,-18.40313,-27.41098,-22.9188,-19.90138,18.4426,3.37205,-39.74311,1.90979,-29.85661,6.38241,-17.71901,4.37795,-11.13231,13.0982,0.30225,-9.60789,-1.76723,15.18854,10.69773,-18.00688,-28.99636,-29.91519,-38.56126,-37.80264,-10.94533,-32.37715,-1.06297,-21.87133,-12.80157,7.19145,-26.61015,14.76055
