Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12,Cell 13,Cell 14,Cell 15,Cell 16,Cell 17,Cell 18,Cell 19,Cell 20,Cell 21,Cell 22,Cell 23,Cell 24,Cell 25,Cell 26,Cell 27,Cell 28,Cell 29,Cell 30,Cell 31,Cell 32,Cell 33,Cell 34,Cell 35,Cell 36,Cell 37,Cell 38,Cell 39,Cell 40,Cell 41,Cell 42,Cell 43,Cell 44,Cell 45,Cell 46,Cell 47,Cell 48,Cell 49,Cell 50,Cell 51,Cell 52,Cell 53,Cell 54,Cell 55,Cell 56,Cell 57,Cell 58,Cell 59,Cell 60,Cell 61,Cell 62,Cell 63,Cell 64,Cell 65,Cell 66,Cell 67,Cell 68,Cell 69,Cell 70,Cell 71,Cell 72,Cell 73,Cell 74,Cell 75,Cell 76,Cell 77,Cell 78,Cell 79,Cell 80,Cell 81,Cell 82,Cell 83,Cell 84,Cell 85,Cell 86,Cell 87,Cell 88,Cell 89,Cell 90,Cell 91,Cell 92,Cell 93,Cell 94,Cell 95,Cell 96,Cell 97,Cell 98,Cell 99,Cell 100,Cell 101,Cell 102,Cell 103,Cell 104,Cell 105,Cell 106,Cell 107,Cell 108,Cell 109,Cell 110
0.11502,0.33467,0.66669,-0.16273,0.78927,0.00549,-0.06798,-0.14625,-0.04166,0.32871,-0.36998,-0.35917,-0.01426,0.99878,0.56959,-0.79423,0.67549,-0.31021,0.033,0.68604,-0.07973,-0.16849,0.16516,-0.41611,1.11057,0.62122,-0.09208,1.47793,1.16178,1.03662,0.47035,0.02961,0.0154,0.24067,0.61561,0.22535,-0.36267,-0.53686,0.13877,0.14246,0.79582,0.41011,-0.15391,0.06928,0.63952,0.26317,0.7215,-0.32588,-1.0508,-0.52928,2.25691,-0.12268,0.17716,0.19768,0.50407,1,-0.61199,-0.21489,0.00129,1.00509,0.47133,0.53302,0.10638,0.79736,1.2145,0.3078,0.74158,0.5413,0.5916,0.6119,1.53984,-0.04349,0.41125,0.32815,0.5925,-0.64339,-0.80082,0.42118,1.42217,1.07081,0.17083,-0.54535,0.05743,0.90848,0.3315,1.83124,-0.23025,-0.21629,0.03837,0.07655,-0.19863,0.39438,0.1815,-0.34459,0.2508,0.95189,0.74956,0.29744,-0.52223,-0.17357,0.92949,-1.04274,-0.59401,1.60887,1.24707,-0.10555,0.57678,0.06443,0.00482,-0.36289
0.10464,0.23809,0.57094,0.3981,0.47997,0.16186,0.117,0.33062,0.2962,-0.06225,-0.2617,-0.23905,-0.26024,0.59119,0.18275,-0.04958,0.58479,-0.04713,-0.37557,0.62959,0.28437,0.11975,0.0234,-0.09478,0.52243,0.4732,-0.07045,1.17971,0.47442,0.52729,0.33827,0.15522,0.14259,0.13499,0.33766,0.08753,-0.17591,-0.33793,0.14897,0.07803,0.60863,0.00288,-0.02939,-0.18442,0.27307,0.37961,0.62492,-0.35049,-0.29979,-0.45752,0.79079,-0.04217,-0.93592,0.2968,0.19829,1,-0.44857,0.25028,-0.1295,1.2753,0.3603,0.12211,0.16384,0.29924,0.52555,0.24072,0.58613,0.24623,0.30421,0.54953,0.82006,0.04511,0.13666,0.34145,0.30995,-0.25882,-0.43178,0.32577,0.60449,0.32817,-0.02014,-0.74991,0.61996,0.64152,0.3343,0.85665,0.09991,-0.38037,0.14755,0.16123,-0.10246,0.24609,0.05,-0.18061,0.09053,0.60851,0.78348,0.01678,-0.13648,-0.00648,0.44765,-0.19878,0.20748,0.73611,1.08426,-0.10576,0.63697,0.04255,-0.25545,-0.04404
0.19423,0.27991,0.63996,0.65255,0.45859,0.39588,0.14832,0.59887,0.59112,-0.11226,-0.17372,0.15977,-0.31305,0.30972,0.06523,0.33563,0.58254,-0.06073,-0.54107,0.66142,0.42099,0.42725,0.06455,0.16616,0.33646,0.38661,0.03051,1.1146,0.23908,0.44354,0.12534,0.22339,0.24538,0.11837,0.25535,-0.0592,-0.07957,-0.16035,0.19667,0.16603,0.61992,-0.04958,0.22623,0.23068,0.27556,0.48679,0.48558,-0.32883,-0.00303,-0.28531,0.0876,0.21417,-1.13469,0.56404,0.07794,1,-0.28417,0.63874,-0.10693,1.54814,0.40941,-0.14821,0.18502,0.1825,0.26346,0.24059,0.42787,0.29176,0.18021,0.48453,0.54088,0.00152,0.05502,0.44407,0.1475,-0.0946,-0.13679,0.28214,0.2242,-0.15069,-0.11209,-0.70043,0.94383,0.8193,0.46531,0.42944,0.18586,-0.32232,0.19348,0.20437,0.00185,0.144,0.00863,-0.17779,0.08278,0.58668,0.92466,-0.00538,0.04759,-0.03363,0.23902,0.44295,0.76506,0.59948,1.02406,0.00988,0.67908,0.211,-0.08325,0.23825
0.26472,0.40074,0.65974,0.68649,0.47965,0.58896,0.01434,1.01483,1.06457,0.10123,-8.11E-04,1.0643,-0.24125,-3.35E-02,-0.00308,0.75498,0.58101,-0.19907,-0.53105,0.81477,0.49185,0.82869,0.27282,0.55941,0.21144,0.28492,0.26525,1.21625,0.14201,0.63294,-0.13196,0.26565,0.46765,0.21094,0.25711,-0.29006,0.02884,0.07119,0.30637,0.36385,0.67791,-0.03698,0.75705,1.16081,0.57304,0.66693,0.44285,-0.09324,0.06606,0.04587,-0.57758,0.54406,-0.98225,1.28404,-0.19702,1,0.06781,1.18651,0.01759,1.95889,0.63585,-0.32526,0.20786,0.42513,0.12928,0.31149,0.17977,0.42514,0.16923,0.24162,0.41683,-0.13043,0.03352,0.62693,-0.05217,0.07338,0.27938,0.27623,-0.05023,-0.76399,-0.20391,-0.28174,1.02284,1.1802,0.73641,-0.06373,0.185,-0.09155,0.28486,0.18729,0.04396,0.01161,0.03729,-0.26654,0.15733,0.59815,1.00862,0.06406,0.17315,-0.13516,0.05137,1.20438,1.47485,1.07154,0.8486,0.30912,0.76327,0.46044,0.3973,0.57859
0.22153,0.67784,-0.06486,0.72745,0.5627,0.69783,-0.48071,2.50758,2.65964,1.05149,0.7731,4.15222,0.08478,-0.71436,-0.24613,1.90052,0.72551,-0.41608,0.00815,1.35993,0.72905,1.63589,0.9667,1.66807,-0.17154,-0.09331,1.00331,1.73258,0.25917,1.93811,-0.08421,0.38113,1.35964,0.88386,0.55726,-0.72774,0.66609,0.67576,0.68782,0.95058,1.25997,0.07355,2.44583,3.67731,1.86452,0.96694,1.22927,1.47943,-0.21561,0.89674,-1.935,0.91964,-0.45519,4.33462,-1.2061,1,1.70561,2.99272,0.4728,3.39415,1.54509,-0.25848,0.31301,1.8132,0.01876,0.75937,-0.21089,0.56172,0.6989,-0.78227,0.68498,-0.45011,0.1478,1.04976,-0.38349,0.68674,1.40111,0.54331,-0.13949,-2.39611,-0.07653,1.94677,0.43075,1.87444,1.9382,-1.66447,0.23588,0.70903,0.90984,-0.04902,-0.24986,-0.15123,0.22764,-0.56048,0.58295,0.48367,1.04951,0.25205,0.65946,-0.10102,-0.12149,3.65997,3.72699,3.76688,0.26815,1.21969,1.37348,1.16102,2.68694,1.2133
0.83772,0.23705,4.97207,-1.91206,1.30467,1.52039,0.07653,-2.99886,-3.24593,-2.24968,-2.3431,-5.63705,-0.71025,0.75431,1.07478,-1.35925,-0.59256,-0.85286,-2.72228,0.13494,-0.95398,-0.11444,-0.80633,-1.20238,1.98459,1.92618,-1.80479,0.35909,-0.73908,-3.78875,-2.50311,-0.23549,-2.2057,-1.93094,-1.37406,-0.5888,-3.32494,-1.70753,-0.58626,-0.2717,-2.14704,-0.79338,-2.85772,-2.75978,-3.65967,1.57957,-3.64846,-6.89911,-0.44479,-1.58194,1.64349,1.59764,-1.53585,-6.95889,2.13414,1,-6.34862,-3.09601,-1.68824,-1.07249,-0.94252,-1.40003,-0.08863,-2.81188,0.96434,-1.95578,0.55371,1.04684,-2.67653,2.98808,-1.69655,0.03193,-0.65491,0.49635,-0.43089,-2.08597,-1.47122,-1.09988,-1.28502,2.50745,-2.40449,-7.34468,4.0001,0.91031,-3.53485,4.07888,-0.82798,-1.80993,-2.50187,1.09332,1.1847,-0.39352,-0.30427,0.01757,-1.7482,1.32607,1.1864,0.13746,-2.10023,-2.05313,-0.89836,-6.82742,-4.70247,-6.90972,2.19215,-1.26923,-1.82459,-1.08205,-7.95375,0.23961
2.26802,0.25522,11.95156,-7.32055,4.6263,3.51847,-1.36593,-8.59519,-9.22039,-5.50638,-5.67041,-13.83089,-1.55717,1.71199,2.58993,-3.16974,-2.51569,-2.05159,-6.39183,0.11461,-3.01926,-1.42273,-2.11248,-3.08296,5.03728,4.87173,-5.42337,-0.07905,-2.11584,-9.82225,-6.31198,-1.0445,-5.76658,-4.47825,-4.24149,-2.14878,-9.03766,-5.02515,-1.77011,-0.35282,-6.04262,-2.63594,-8.22504,-7.2718,-10.41213,4.41899,-9.9323,-17.97296,-3.40234,-4.89961,4.44721,3.68048,-3.3643,-17.21075,5.43193,1,-16.81427,-7.68045,-4.59305,-3.51767,-1.88123,-2.88145,-0.4361,-6.39037,2.63326,-6.04002,2.20442,2.20954,-7.16717,6.6869,-4.7194,-0.44403,-1.78275,1.22459,-1.43068,-5.66354,-3.13478,-2.98101,-3.05887,5.88017,-6.62968,-17.21707,9.54272,1.28998,-10.0186,9.47636,-3.01657,-4.09168,-6.78755,2.65845,2.23607,-0.628,-0.6878,-0.09441,-4.61816,3.12545,2.35203,0.08306,-5.84709,-5.93984,-3.12103,-18.66912,-12.78383,-17.80916,4.67126,-3.54698,-5.48326,-2.77229,-20.57662,0.38625
0.49798,0.02688,4.01436,-1.5703,0.69412,1.45216,0.37699,-2.00203,-2.41389,-1.91231,-1.67854,-4.10169,-0.36921,0.60543,1.07885,-0.99043,-0.59029,-1.02036,-1.94535,0.20778,-1.02168,0.31005,-0.36638,-0.62319,1.70097,1.39498,-1.07692,0.22885,-0.32549,-3.16821,-2.02572,-0.10404,-1.66801,-1.44498,-0.90638,-0.37714,-2.63122,-1.02095,-0.4872,-0.19746,-2.01729,-0.28372,-1.54311,-1.83901,-2.59331,1.11459,-2.58167,-5.73963,0.1694,-0.50153,1.20804,1.52655,-0.50002,-5.74349,1.49457,1,-4.90064,-2.59396,-1.52581,-1.01885,-0.41959,-1.18604,-0.11098,-2.31973,1.09935,-1.41204,-0.10668,1.08302,-2.21106,2.52041,-1.51986,0.17521,-0.45462,0.37525,-0.44684,-1.41229,-0.93043,-0.8054,-0.88426,2.21763,-1.92756,-5.4825,3.02698,0.79274,-2.45925,3.04742,-0.38886,-1.45865,-1.9317,0.77477,1.02883,-0.62904,-0.22173,0.10058,-1.57358,0.81935,0.66203,0.48517,-1.43812,-1.52307,-0.40174,-5.31746,-3.63914,-5.06448,1.63444,-0.54271,-1.38926,-0.95972,-6.31334,0.09215
-1.4039,-0.69196,-2.99454,4.53307,-3.9781,-0.78711,3.17062,2.41512,1.90397,0.21622,1.20134,0.77998,0.43708,0.52152,-0.00541,-0.75229,1.10669,0.34569,1.88102,-0.79455,0.52401,0.95556,0.36687,0.13155,-1.20765,-1.76304,2.37603,-0.53232,1.26867,1.39874,2.13593,0.72672,0.99253,0.41361,2.07435,2.30455,3.05178,2.41379,0.18843,-1.1141,1.03305,2.22505,2.93933,-0.20177,3.50349,-3.04004,3.5355,4.38113,4.93985,3.1398,-0.02668,-1.17969,2.20559,0.76552,-0.91997,1,4.94003,-0.64053,0.98267,-1.2702,-0.62308,0.33162,0.0392,-0.6057,-0.42995,2.76344,-2.28468,-0.30848,1.99627,7.39E-05,1.15178,1.53883,0.75091,-1.28049,1.09198,2.1105,-0.37239,0.93356,1.34858,1.2817,2.79007,2.9273,-2.9063,-0.85109,3.45127,-0.91898,2.33207,0.01068,2.03371,-0.77611,0.49547,-0.56865,-0.04079,0.83173,0.86928,-1.52289,-1.30069,0.74014,2.42244,3.07088,2.78832,4.56924,1.93956,3.55479,-0.74887,1.2571,1.62467,-0.29291,4.64399,-1.22031
-0.58692,-0.50642,-0.4162,1.44691,-1.35043,0.50994,1.21478,1.19825,0.25367,-0.543,0.45871,-0.03948,0.22193,0.64078,0.50888,-0.08098,0.19847,-0.25566,0.62462,-0.12487,-0.25495,0.76369,0.39027,0.32965,0.04185,-0.65908,0.88612,-0.22288,0.67472,-0.05554,0.50238,0.50567,0.15816,0.12923,0.75554,0.83355,0.67356,1.0903,-0.13226,-0.39888,-0.00705,1.32904,1.83789,-0.08754,1.1697,-1.01807,1.1494,0.10993,2.58411,1.93156,0.30189,0.07851,1.65715,-0.67861,0.01501,1,1.08132,-0.67229,-0.18678,-0.63636,0.28245,-0.04245,0.03598,-0.61418,0.36397,0.91001,-1.1224,0.20187,0.35206,0.90689,0.10392,0.97692,0.35703,-0.19413,0.33929,0.817,0.42921,0.48725,0.79866,1.11009,0.64375,0.70059,-0.36231,-0.01539,1.43685,-0.04275,1.03593,-0.26896,0.56728,-0.03761,0.42754,-0.50824,0.01758,0.28825,-0.0035,-0.45521,-0.21811,0.79364,1.08516,0.85917,1.45659,1.21437,0.21566,1.14289,0.19906,0.9171,0.26945,-0.22372,0.5565,-0.52466
