Points0,Points1,Points2,,intensity,filtered
52,396.6149506,144,,876.1988,0
183,396.6149506,94,,719.5936,0
57,396.6149506,61,,1039.0142,0
94,395.4866008,0,,1333.4224,0
174,395.4866008,8,,1018.0416,0
97,395.4866008,5,,1268.525,0
103,395.4866008,27,,1318.528,0
143,395.4866008,50,,1055.9696,0
163,395.4866008,70,,965.7956,0
162,395.4866008,95,,1189.8446,0
138,395.4866008,110,,1088.577,0
107,395.4866008,117,,1112.5338,0
97,395.4866008,104,,955.8802,0
114,395.4866008,93,,925.3016,0
121,395.4866008,75,,1075.4572,0
178,395.4866008,153,,878.2942,0
148,395.4866008,176,,742.175,1.614
7,395.4866008,178,,1071.551,0
2,395.4866008,168,,1081.6884,0
17,395.4866008,116,,1206.7768,0
31,395.4866008,41,,1094.7564,0
116,395.4866008,146,,779.7614,6.5274
118,395.4866008,17,,981.1166,0
149,395.4866008,38,,857.7772,0
194,395.4866008,154,,852.6524,0
55,395.4866008,167,,775.6964,0
59,395.4866008,96,,1092.7554,0
83,395.4866008,119,,925.081,0
111,395.4866008,175,,732.225,0
81,395.4866008,156,,643.17,0
97,395.4866008,59,,1201.2,0
27,395.4866008,142,,939.2304,0
80,395.4866008,66,,1124.6708,0
70,395.4866008,124,,832.2998,6.3464
61,395.4866008,26,,950.5624,0
139,395.4866008,58,,1073.3216,0
137,395.4866008,163,,759.1548,0
169,395.4866008,131,,739.0772,0
0,395.4866008,127,,1249.5016,0
68,395.4866008,66,,862.703,0
52,395.4866008,144,,872.8686,0
183,395.4866008,94,,706.2104,0
57,395.4866008,61,,1027.0618,0
94,394.3582511,0,,1323.4836,0
174,394.3582511,8,,1006.1612,0
97,394.3582511,5,,1269.4374,0.9124
103,394.3582511,27,,1303.4516,0
143,394.3582511,50,,1043.4482,0
163,394.3582511,70,,954.6788,0
162,394.3582511,95,,1178.9176,0
138,394.3582511,110,,1086.0856,0
107,394.3582511,117,,1108.015,0
97,394.3582511,104,,943.5284,0
114,394.3582511,93,,924.2344,0
121,394.3582511,75,,1064.4786,0
