Points0,Points1,Points2,,intensity,filtered,timeframe,cell,kmeans
178,70.5,153,,980.6096,,3,13,3
148,70.5,176,,747.2028,,3,14,1
7,70.5,178,,1103.1568,,3,15,1
2,70.5,168,,1088.7694,,3,16,2
17,70.5,116,,1246.1558,,3,17,1
31,70.5,41,,1118.525,,3,18,2
116,70.5,146,,785.3978,,3,19,1
118,70.5,17,,998.4188,,3,20,0
149,70.5,38,,887.3462,,3,21,1
194,70.5,154,,869.488,,3,22,1
55,70.5,167,,785.2928,,3,23,1
59,70.5,96,,1081.918,,3,24,1
83,70.5,119,,952.0238,,3,25,1
111,70.5,175,,739.3906,,3,26,3
81,70.5,156,,643.5192,,3,27,1
97,70.5,59,,1209.4096,,3,28,4
27,70.5,142,,968.2924,,3,29,1
80,70.5,66,,1136.2986,,3,30,1
70,70.5,124,,834.8712,,3,31,1
61,70.5,26,,987.8348,,3,32,1
139,70.5,58,,1116.8608,,3,33,1
137,70.5,163,,777.0856,,3,34,2
169,70.5,131,,759.7314,,3,35,4
0,70.5,127,,1274.8984,,3,36,3
68,70.5,66,,886.4086,,3,37,0
52,70.5,144,,884.9494,,3,38,1
183,70.5,94,,723.2394,,3,39,1
57,70.5,61,,1073.1164,,3,40,1
94,70.3,0,,1355.6502,-40.7832,4,1,3
174,70.3,8,,1028.9082,-17.9332,4,2,1
97,70.3,5,,1281.9126,-15.8752,4,3,0
103,70.3,27,,1331.5212,-15.0158,4,4,3
143,70.3,50,,1068.875,-12.0858,4,5,0
163,70.3,70,,972.9484,-23.8134,4,6,1
162,70.3,95,,1196.462,-9.911,4,7,1
138,70.3,110,,1094.3114,-6.8142,4,8,1
107,70.3,117,,1113.9352,-12.5294,4,9,1
97,70.3,104,,960.9516,-15.3984,4,10,2
114,70.3,93,,929.9638,-4.6792,4,11,1
121,70.3,75,,1084.0786,-22.1048,4,12,4
178,70.3,153,,925.7904,-54.8192,4,13,1
148,70.3,176,,740.561,-6.6418,4,14,3
7,70.3,178,,1084.5902,-18.5666,4,15,1
2,70.3,168,,1085.1578,-3.6116,4,16,2
17,70.3,116,,1215.1634,-30.9924,4,17,1
31,70.3,41,,1101.7834,-16.7416,4,18,3
116,70.3,146,,773.234,-12.1638,4,19,1
118,70.3,17,,989.8958,-8.523,4,20,1
149,70.3,38,,867.9092,-19.437,4,21,1
194,70.3,154,,863.338,-6.15,4,22,1
55,70.3,167,,780.2946,-4.9982,4,23,1
59,70.3,96,,1093.634,11.716,4,24,1
83,70.3,119,,934.569,-17.4548,4,25,3
111,70.3,175,,736.3812,-3.0094,4,26,1
81,70.3,156,,643.1724,-0.3468,4,27,3
97,70.3,59,,1210.2548,0.8452,4,28,2
27,70.3,142,,950.3038,-17.9886,4,29,0
80,70.3,66,,1132.2158,-4.0828,4,30,3
70,70.3,124,,825.9534,-8.9178,4,31,2
61,70.3,26,,965.5826,-22.2522,4,32,1
139,70.3,58,,1089.6354,-27.2254,4,33,1
137,70.3,163,,765.1238,-11.9618,4,34,1
169,70.3,131,,746.3344,-13.397,4,35,1
0,70.3,127,,1257.4394,-17.459,4,36,2
68,70.3,66,,867.9944,-18.4142,4,37,1
52,70.3,144,,876.1988,-8.7506,4,38,1
183,70.3,94,,719.5936,-3.6458,4,39,0
57,70.3,61,,1039.0142,-34.1022,4,40,2
94,70.1,0,,1333.4224,-22.2278,5,1,2
174,70.1,8,,1018.0416,-10.8666,5,2,3
97,70.1,5,,1268.525,-13.3876,5,3,1
103,70.1,27,,1318.528,-12.9932,5,4,1
143,70.1,50,,1055.9696,-12.9054,5,5,1
163,70.1,70,,965.7956,-7.1528,5,6,1
162,70.1,95,,1189.8446,-6.6174,5,7,1
138,70.1,110,,1088.577,-5.7344,5,8,0
107,70.1,117,,1112.5338,-1.4014,5,9,2
97,70.1,104,,955.8802,-5.0714,5,10,3
114,70.1,93,,925.3016,-4.6622,5,11,1
121,70.1,75,,1075.4572,-8.6214,5,12,3
178,70.1,153,,878.2942,-47.4962,5,13,1
148,70.1,176,,742.175,1.614,5,14,1
7,70.1,178,,1071.551,-13.0392,5,15,2
2,70.1,168,,1081.6884,-3.4694,5,16,0
17,70.1,116,,1206.7768,-8.3866,5,17,1
31,70.1,41,,1094.7564,-7.027,5,18,1
116,70.1,146,,779.7614,6.5274,5,19,3
118,70.1,17,,981.1166,-8.7792,5,20,1
149,70.1,38,,857.7772,-10.132,5,21,1
194,70.1,154,,852.6524,-10.6856,5,22,1
55,70.1,167,,775.6964,-4.5982,5,23,4
59,70.1,96,,1092.7554,-0.8786,5,24,1
83,70.1,119,,925.081,-9.488,5,25,2
111,70.1,175,,732.225,-4.1562,5,26,1
81,70.1,156,,643.17,-0.0024,5,27,1
97,70.1,59,,1201.2,-9.0548,5,28,1
27,70.1,142,,939.2304,-11.0734,5,29,1
80,70.1,66,,1124.6708,-7.545,5,30,1
70,70.1,124,,832.2998,6.3464,5,31,1
61,70.1,26,,950.5624,-15.0202,5,32,1
139,70.1,58,,1073.3216,-16.3138,5,33,1
137,70.1,163,,759.1548,-5.969,5,34,1
169,70.1,131,,739.0772,-7.2572,5,35,1
0,70.1,127,,1249.5016,-7.9378,5,36,1
68,70.1,66,,862.703,-5.2914,5,37,1
52,70.1,144,,872.8686,-3.3302,5,38,2
183,70.1,94,,706.2104,-13.3832,5,39,1
57,70.1,61,,1027.0618,-11.9524,5,40,0
94,69.9,0,,1323.4836,-9.9388,6,1,1
174,69.9,8,,1006.1612,-11.8804,6,2,3
97,69.9,5,,1269.4374,0.9124,6,3,1
103,69.9,27,,1303.4516,-15.0764,6,4,1
143,69.9,50,,1043.4482,-12.5214,6,5,1
163,69.9,70,,954.6788,-11.1168,6,6,1
162,69.9,95,,1178.9176,-10.927,6,7,1
138,69.9,110,,1086.0856,-2.4914,6,8,0
107,69.9,117,,1108.015,-4.5188,6,9,3
97,69.9,104,,943.5284,-12.3518,6,10,1
114,69.9,93,,924.2344,-1.0672,6,11,1
121,69.9,75,,1064.4786,-10.9786,6,12,2
178,69.9,153,,848.7652,-29.529,6,13,3
148,69.9,176,,741.0528,-1.1222,6,14,1
7,69.9,178,,1065.4118,-6.1392,6,15,2
2,69.9,168,,1086.3942,4.7058,6,16,2
17,69.9,116,,1202.3576,-4.4192,6,17,3
31,69.9,41,,1091.3272,-3.4292,6,18,1
116,69.9,146,,768.95,-10.8114,6,19,1
118,69.9,17,,979.079,-2.0376,6,20,1
149,69.9,38,,840.8762,-16.901,6,21,1
194,69.9,154,,858.1406,5.4882,6,22,1
55,69.9,167,,762.0304,-13.666,6,23,3
59,69.9,96,,1092.916,0.1606,6,24,3
83,69.9,119,,913.6026,-11.4784,6,25,1
111,69.9,175,,715.3998,-16.8252,6,26,3
81,69.9,156,,633.3142,-9.8558,6,27,1
97,69.9,59,,1206.8468,5.6468,6,28,2
27,69.9,142,,927.54,-11.6904,6,29,2
80,69.9,66,,1120.178,-4.4928,6,30,3
70,69.9,124,,831.4784,-0.8214,6,31,1
61,69.9,26,,935.148,-15.4144,6,32,3
139,69.9,58,,1055.0506,-18.271,6,33,1
137,69.9,163,,752.1596,-6.9952,6,34,1
169,69.9,131,,734.8116,-4.2656,6,35,1
0,69.9,127,,1246.882,-2.6196,6,36,1
68,69.9,66,,859.523,-3.18,6,37,1
52,69.9,144,,862.9662,-9.9024,6,38,0
183,69.9,94,,703.2626,-2.9478,6,39,3
57,69.9,61,,1009.0666,-17.9952,6,40,0
94,69.7,0,,1314.9168,-8.5668,7,1,2
174,69.7,8,,988.539,-17.6222,7,2,1
97,69.7,5,,1257.7438,-11.6936,7,3,2
103,69.7,27,,1301.2516,-2.2,7,4,1
143,69.7,50,,1042.775,-0.6732,7,5,2
163,69.7,70,,962.281,7.6022,7,6,3
162,69.7,95,,1176.7778,-2.1398,7,7,0
138,69.7,110,,1075.3342,-10.7514,7,8,1
107,69.7,117,,1107.397,-0.618,7,9,0
97,69.7,104,,941.4584,-2.07,7,10,2
114,69.7,93,,922.8136,-1.4208,7,11,1
121,69.7,75,,1060.512,-3.9666,7,12,1
178,69.7,153,,821.3766,-27.3886,7,13,0
148,69.7,176,,742.7528,1.7,7,14,1
7,69.7,178,,1064.261,-1.1508,7,15,1
2,69.7,168,,1081.8808,-4.5134,7,16,1
17,69.7,116,,1189.1134,-13.2442,7,17,1
31,69.7,41,,1088.2772,-3.05,7,18,1
116,69.7,146,,761.5728,-7.3772,7,19,1
118,69.7,17,,969.0852,-9.9938,7,20,0
149,69.7,38,,825.0082,-15.868,7,21,1
194,69.7,154,,860.6334,2.4928,7,22,2
55,69.7,167,,753.0892,-8.9412,7,23,1
59,69.7,96,,1091.3516,-1.5644,7,24,1
83,69.7,119,,908.8312,-4.7714,7,25,1
111,69.7,175,,707.053,-8.3468,7,26,3
81,69.7,156,,635.2762,1.962,7,27,1
97,69.7,59,,1198.316,-8.5308,7,28,2
27,69.7,142,,923.6248,-3.9152,7,29,2
80,69.7,66,,1114.1634,-6.0146,7,30,2
70,69.7,124,,828.9606,-2.5178,7,31,1
61,69.7,26,,931.2784,-3.8696,7,32,1
139,69.7,58,,1060.9342,5.8836,7,33,1
137,69.7,163,,753.7572,1.5976,7,34,1
169,69.7,131,,732.9258,-1.8858,7,35,1
0,69.7,127,,1232.2918,-14.5902,7,36,1
68,69.7,66,,861.2544,1.7314,7,37,3
52,69.7,144,,857.365,-5.6012,7,38,1
183,69.7,94,,699.4188,-3.8438,7,39,3
57,69.7,61,,1003.338,-5.7286,7,40,1
94,69.5,0,,1318.889,3.9722,8,1,1
174,69.5,8,,966.003,-22.536,8,2,1
97,69.5,5,,1250.3124,-7.4314,8,3,3
103,69.5,27,,1282.7482,-18.5034,8,4,1
143,69.5,50,,1040.8428,-1.9322,8,5,1
163,69.5,70,,953.3798,-8.9012,8,6,3
162,69.5,95,,1168.6238,-8.154,8,7,3
138,69.5,110,,1077.1686,1.8344,8,8,2
107,69.5,117,,1103.1368,-4.2602,8,9,1
97,69.5,104,,931.2424,-10.216,8,10,1
114,69.5,93,,918.95,-3.8636,8,11,1
121,69.5,75,,1060.9072,0.3952,8,12,2
178,69.5,153,,805.6112,-15.7654,8,13,1
148,69.5,176,,743.75,0.9972,8,14,1
7,69.5,178,,1065.2668,1.0058,8,15,1
2,69.5,168,,1072.802,-9.0788,8,16,1
17,69.5,116,,1181.7308,-7.3826,8,17,1
31,69.5,41,,1079.5604,-8.7168,8,18,2
116,69.5,146,,760.3908,-1.182,8,19,1
118,69.5,17,,966.4874,-2.5978,8,20,1
149,69.5,38,,817.0082,-8,8,21,1
194,69.5,154,,861.8596,1.2262,8,22,1
55,69.5,167,,750.0874,-3.0018,8,23,0
59,69.5,96,,1090.9034,-0.4482,8,24,3
83,69.5,119,,903.6502,-5.181,8,25,3
111,69.5,175,,707.175,0.122,8,26,1
81,69.5,156,,638.0458,2.7696,8,27,3
97,69.5,59,,1190.4128,-7.9032,8,28,1
27,69.5,142,,916.5334,-7.0914,8,29,1
80,69.5,66,,1114.4646,0.3012,8,30,2
70,69.5,124,,818.5588,-10.4018,8,31,3
61,69.5,26,,924.3972,-6.8812,8,32,1
139,69.5,58,,1062.362,1.4278,8,33,1
137,69.5,163,,755.75,1.9928,8,34,1
169,69.5,131,,724.9544,-7.9714,8,35,1
0,69.5,127,,1225.987,-6.3048,8,36,1
68,69.5,66,,860.2858,-0.9686,8,37,3
52,69.5,144,,851.524,-5.841,8,38,3
183,69.5,94,,699.6938,0.275,8,39,1
57,69.5,61,,996.3952,-6.9428,8,40,1
94,69.3,0,,1324.15,5.261,9,1,2
174,69.3,8,,959.3474,-6.6556,9,2,1
97,69.3,5,,1248.525,-1.7874,9,3,1
103,69.3,27,,1272.5348,-10.2134,9,4,3
143,69.3,50,,1040.3322,-0.5106,9,5,1
163,69.3,70,,966.2876,12.9078,9,6,1
162,69.3,95,,1165.9984,-2.6254,9,7,1
138,69.3,110,,1083.0086,5.84,9,8,2
107,69.3,117,,1104.77,1.6332,9,9,1
97,69.3,104,,934.273,3.0306,9,10,2
114,69.3,93,,912.6586,-6.2914,9,11,2
121,69.3,75,,1070.5358,9.6286,9,12,1
178,69.3,153,,785.2496,-20.3616,9,13,1
148,69.3,176,,745.4362,1.6862,9,14,1
7,69.3,178,,1073.5354,8.2686,9,15,1
2,69.3,168,,1069.4232,-3.3788,9,16,1
17,69.3,116,,1194.2154,12.4846,9,17,2
31,69.3,41,,1087.2604,7.7,9,18,1
116,69.3,146,,767.4318,7.041,9,19,0
118,69.3,17,,966.3542,-0.1332,9,20,3
149,69.3,38,,829.3484,12.3402,9,21,3
194,69.3,154,,859.3358,-2.5238,9,22,1
55,69.3,167,,743.3624,-6.725,9,23,1
59,69.3,96,,1089.1874,-1.716,9,24,1
83,69.3,119,,910.755,7.1048,9,25,1
111,69.3,175,,697.9532,-9.2218,9,26,1
81,69.3,156,,632.5572,-5.4886,9,27,3
97,69.3,59,,1188.816,-1.5968,9,28,1
27,69.3,142,,912.3676,-4.1658,9,29,3
80,69.3,66,,1118.6596,4.195,9,30,1
70,69.3,124,,817.098,-1.4608,9,31,1
61,69.3,26,,918.4088,-5.9884,9,32,3
139,69.3,58,,1072.714,10.352,9,33,2
137,69.3,163,,749.138,-6.612,9,34,1
169,69.3,131,,736.5714,11.617,9,35,3
0,69.3,127,,1219.7836,-6.2034,9,36,2
68,69.3,66,,859.7228,-0.563,9,37,1
52,69.3,144,,853.9216,2.3976,9,38,1
183,69.3,94,,701.448,1.7542,9,39,1
57,69.3,61,,1005.769,9.3738,9,40,2
94,69.1,0,,1334.9222,10.7722,10,1,2
174,69.1,8,,948.0752,-11.2722,10,2,0
97,69.1,5,,1255.5874,7.0624,10,3,1
103,69.1,27,,1257.8808,-14.654,10,4,2
143,69.1,50,,1030.1162,-10.216,10,5,1
163,69.1,70,,956.9414,-9.3462,10,6,1
162,69.1,95,,1157.981,-8.0174,10,7,1
138,69.1,110,,1082.0772,-0.9314,10,8,1
107,69.1,117,,1097.1894,-7.5806,10,9,2
97,69.1,104,,928.5984,-5.6746,10,10,0
114,69.1,93,,906.9708,-5.6878,10,11,1
121,69.1,75,,1067.7024,-2.8334,10,12,1
178,69.1,153,,772.5036,-12.746,10,13,1
148,69.1,176,,743.4084,-2.0278,10,14,1
7,69.1,178,,1073.598,0.0626,10,15,1
2,69.1,168,,1067.4022,-2.021,10,16,1
17,69.1,116,,1190.8252,-3.3902,10,17,2
31,69.1,41,,1085.1104,-2.15,10,18,2
116,69.1,146,,760.509,-6.9228,10,19,1
118,69.1,17,,965.023,-1.3312,10,20,1
149,69.1,38,,823.6536,-5.6948,10,21,3
194,69.1,154,,869.4358,10.1,10,22,1
55,69.1,167,,744.4054,1.043,10,23,1
59,69.1,96,,1082.1928,-6.9946,10,24,1
83,69.1,119,,910.6478,-0.1072,10,25,1
111,69.1,175,,692.9,-5.0532,10,26,1
81,69.1,156,,628.9926,-3.5646,10,27,1
97,69.1,59,,1192.4578,3.6418,10,28,2
27,69.1,142,,901.0066,-11.361,10,29,1
80,69.1,66,,1121.3912,2.7316,10,30,2
70,69.1,124,,804.4176,-12.6804,10,31,2
61,69.1,26,,911.2956,-7.1132,10,32,1
139,69.1,58,,1075.6988,2.9848,10,33,1
137,69.1,163,,749.7214,0.5834,10,34,1
169,69.1,131,,738.24,1.6686,10,35,1
0,69.1,127,,1212.6132,-7.1704,10,36,2
68,69.1,66,,858.0572,-1.6656,10,37,1
52,69.1,144,,857.4324,3.5108,10,38,2
183,69.1,94,,705.8522,4.4042,10,39,1
57,69.1,61,,1003.081,-2.688,10,40,0
94,68.9,0,,1325.561,-9.3612,11,1,1
174,68.9,8,,945.039,-3.0362,11,2,1
97,68.9,5,,1241.0562,-14.5312,11,3,1
103,68.9,27,,1256.8562,-1.0246,11,4,2
143,68.9,50,,1031.9698,1.8536,11,5,1
163,68.9,70,,964.7144,7.773,11,6,2
162,68.9,95,,1158.1272,0.1462,11,7,2
138,68.9,110,,1084.4886,2.4114,11,8,1
107,68.9,117,,1091.9684,-5.221,11,9,1
97,68.9,104,,927.562,-1.0364,11,10,1
114,68.9,93,,903.2294,-3.7414,11,11,2
121,68.9,75,,1067.562,-0.1404,11,12,1
178,68.9,153,,761.569,-10.9346,11,13,0
148,68.9,176,,737.8972,-5.5112,11,14,1
7,68.9,178,,1070.9018,-2.6962,11,15,3
2,68.9,168,,1056.331,-11.0712,11,16,1
17,68.9,116,,1184.7944,-6.0308,11,17,3
31,68.9,41,,1081.2062,-3.9042,11,18,1
116,68.9,146,,769.625,9.116,11,19,3
118,68.9,17,,966.6564,1.6334,11,20,1
149,68.9,38,,826.3958,2.7422,11,21,1
194,68.9,154,,864.7334,-4.7024,11,22,1
55,68.9,167,,749.6912,5.2858,11,23,3
59,68.9,96,,1083.6286,1.4358,11,24,2
83,68.9,119,,908.893,-1.7548,11,25,1
111,68.9,175,,697.1094,4.2094,11,26,2
81,68.9,156,,633.9596,4.967,11,27,1
97,68.9,59,,1176.1934,-16.2644,11,28,1
27,68.9,142,,899.6638,-1.3428,11,29,1
80,68.9,66,,1123.2644,1.8732,11,30,3
70,68.9,124,,798.573,-5.8446,11,31,3
61,68.9,26,,907.884,-3.4116,11,32,2
139,68.9,58,,1085.4128,9.714,11,33,2
137,68.9,163,,755.3142,5.5928,11,34,0
169,68.9,131,,737.5742,-0.6658,11,35,1
0,68.9,127,,1211.718,-0.8952,11,36,3
68,68.9,66,,856.8742,-1.183,11,37,1
52,68.9,144,,860.5312,3.0988,11,38,1
183,68.9,94,,699.2,-6.6522,11,39,2
57,68.9,61,,1006.2454,3.1644,11,40,1
94,68.7,0,,1323.9722,-1.5888,12,1,1
174,68.7,8,,934.0556,-10.9834,12,2,1
97,68.7,5,,1254.4998,13.4436,12,3,1
103,68.7,27,,1240.7282,-16.128,12,4,1
143,68.7,50,,1027.1984,-4.7714,12,5,3
163,68.7,70,,959.3728,-5.3416,12,6,3
162,68.7,95,,1147.8416,-10.2856,12,7,3
138,68.7,110,,1088.38,3.8914,12,8,1
107,68.7,117,,1081.9156,-10.0528,12,9,2
97,68.7,104,,918.6964,-8.8656,12,10,1
114,68.7,93,,899.0812,-4.1482,12,11,1
121,68.7,75,,1063.1214,-4.4406,12,12,1
178,68.7,153,,751.444,-10.125,12,13,3
148,68.7,176,,724.3444,-13.5528,12,14,1
7,68.7,178,,1046.8272,-24.0746,12,15,1
2,68.7,168,,1058.7752,2.4442,12,16,1
17,68.7,116,,1178.3886,-6.4058,12,17,1
31,68.7,41,,1075.179,-6.0272,12,18,1
116,68.7,146,,757.9864,-11.6386,12,19,2
118,68.7,17,,960.996,-5.6604,12,20,2
149,68.7,38,,830.138,3.7422,12,21,3
194,68.7,154,,862.881,-1.8524,12,22,1
55,68.7,167,,756.7002,7.009,12,23,1
59,68.7,96,,1081.0698,-2.5588,12,24,3
83,68.7,119,,913.0072,4.1142,12,25,1
111,68.7,175,,702.4718,5.3624,12,26,2
81,68.7,156,,627.6228,-6.3368,12,27,1
97,68.7,59,,1175.716,-0.4774,12,28,3
27,68.7,142,,896.4734,-3.1904,12,29,1
80,68.7,66,,1119.651,-3.6134,12,30,1
70,68.7,124,,790.7194,-7.8536,12,31,1
61,68.7,26,,902.8608,-5.0232,12,32,3
139,68.7,58,,1078.6128,-6.8,12,33,1
137,68.7,163,,745.988,-9.3262,12,34,3
169,68.7,131,,730.4428,-7.1314,12,35,3
0,68.7,127,,1221.636,9.918,12,36,3
68,68.7,66,,856.5742,-0.3,12,37,1
52,68.7,144,,859.6638,-0.8674,12,38,1
183,68.7,94,,698.0478,-1.1522,12,39,1
57,68.7,61,,1003.3264,-2.919,12,40,1
94,68.5,0,,1285.8556,-38.1166,13,1,1
174,68.5,8,,938.9472,4.8916,13,2,1
97,68.5,5,,1222.1998,-32.3,13,3,3
103,68.5,27,,1243.4474,2.7192,13,4,1
143,68.5,50,,1020.3984,-6.8,13,5,2
163,68.5,70,,953.501,-5.8718,13,6,1
162,68.5,95,,1149.6288,1.7872,13,7,1
138,68.5,110,,1079.8942,-8.4858,13,8,1
107,68.5,117,,1071.9216,-9.994,13,9,0
97,68.5,104,,915.0162,-3.6802,13,10,1
114,68.5,93,,895.988,-3.0932,13,11,1
121,68.5,75,,1044.1596,-18.9618,13,12,1
178,68.5,153,,737.8114,-13.6326,13,13,1
148,68.5,176,,716.8888,-7.4556,13,14,1
7,68.5,178,,1037.5448,-9.2824,13,15,1
2,68.5,168,,1059.9752,1.2,13,16,0
17,68.5,116,,1166.8886,-11.5,13,17,1
31,68.5,41,,1070.1666,-5.0124,13,18,1
116,68.5,146,,752.6138,-5.3726,13,19,1
118,68.5,17,,951.871,-9.125,13,20,2
149,68.5,38,,825.266,-4.872,13,21,1
194,68.5,154,,848.2048,-14.6762,13,22,0
55,68.5,167,,753.1574,-3.5428,13,23,1
59,68.5,96,,1082.9304,1.8606,13,24,2
83,68.5,119,,897.9382,-15.069,13,25,1
111,68.5,175,,705.903,3.4312,13,26,1
81,68.5,156,,625.6328,-1.99,13,27,1
97,68.5,59,,1176.1016,0.3856,13,28,2
27,68.5,142,,891.9972,-4.4762,13,29,1
80,68.5,66,,1112.562,-7.089,13,30,1
70,68.5,124,,792.0642,1.3448,13,31,1
61,68.5,26,,900.3652,-2.4956,13,32,2
139,68.5,58,,1059.2888,-19.324,13,33,2
137,68.5,163,,741.0238,-4.9642,13,34,3
169,68.5,131,,729.3284,-1.1144,13,35,2
0,68.5,127,,1211.8852,-9.7508,13,36,1
68,68.5,66,,840.9,-15.6742,13,37,1
52,68.5,144,,858.9554,-0.7084,13,38,1
183,68.5,94,,691.7812,-6.2666,13,39,1
57,68.5,61,,993.3836,-9.9428,13,40,1
94,68.3,0,,1286.6612,0.8056,14,1,2
174,68.3,8,,926.4056,-12.5416,14,2,1
97,68.3,5,,1225.9748,3.775,14,3,3
103,68.3,27,,1242.899,-0.5484,14,4,2
143,68.3,50,,1009.5126,-10.8858,14,5,1
163,68.3,70,,953.4538,-0.0472,14,6,1
162,68.3,95,,1150.935,1.3062,14,7,3
138,68.3,110,,1071.8084,-8.0858,14,8,1
107,68.3,117,,1070.902,-1.0196,14,9,1
97,68.3,104,,910.0278,-4.9884,14,10,2
114,68.3,93,,896.4568,0.4688,14,11,1
121,68.3,75,,1033.5714,-10.5882,14,12,1
178,68.3,153,,733.9826,-3.8288,14,13,2
148,68.3,176,,706.5888,-10.3,14,14,3
7,68.3,178,,1039.9724,2.4276,14,15,1
2,68.3,168,,1057.2464,-2.7288,14,16,3
17,68.3,116,,1165.6194,-1.2692,14,17,1
31,68.3,41,,1066.8062,-3.3604,14,18,1
116,68.3,146,,755.7228,3.109,14,19,1
118,68.3,17,,951.5168,-0.3542,14,20,1
149,68.3,38,,816.9588,-8.3072,14,21,1
194,68.3,154,,843.0358,-5.169,14,22,3
55,68.3,167,,758.0252,4.8678,14,23,1
59,68.3,96,,1076.7982,-6.1322,14,24,0
83,68.3,119,,899.9738,2.0356,14,25,1
111,68.3,175,,703.978,-1.925,14,26,1
81,68.3,156,,621.2986,-4.3342,14,27,1
97,68.3,59,,1171.134,-4.9676,14,28,2
27,68.3,142,,887.2668,-4.7304,14,29,1
80,68.3,66,,1102.0998,-10.4622,14,30,2
70,68.3,124,,788.9054,-3.1588,14,31,1
61,68.3,26,,902.5564,2.1912,14,32,3
139,68.3,58,,1061.6356,2.3468,14,33,1
137,68.3,163,,740.7,-0.3238,14,34,1
169,68.3,131,,719.0714,-10.257,14,35,3
0,68.3,127,,1212.3902,0.505,14,36,2
68,68.3,66,,845.0744,4.1744,14,37,1
52,68.3,144,,855.3614,-3.594,14,38,3
183,68.3,94,,685.8082,-5.973,14,39,2
57,68.3,61,,996.9668,3.5832,14,40,1
94,68.1,0,,1279.9556,-6.7056,15,1,2
174,68.1,8,,916.6416,-9.764,15,2,2
97,68.1,5,,1205.1,-20.8748,15,3,3
