Points0,Points1,Points2,,intensity,filtered,timeframe,cell
107,29.7461213,117,,1113.9352,0,4,9
97,29.7461213,104,,960.9516,0,4,10
114,29.7461213,93,,929.9638,0,4,11
121,29.7461213,75,,1084.0786,0,4,12
178,29.7461213,153,,925.7904,0,4,13
148,29.7461213,176,,740.561,0,4,14
7,29.7461213,178,,1084.5902,0,4,15
2,29.7461213,168,,1085.1578,0,4,16
17,29.7461213,116,,1215.1634,0,4,17
31,29.7461213,41,,1101.7834,0,4,18
116,29.7461213,146,,773.234,0,4,19
118,29.7461213,17,,989.8958,0,4,20
149,29.7461213,38,,867.9092,0,4,21
194,29.7461213,154,,863.338,0,4,22
55,29.7461213,167,,780.2946,0,4,23
59,29.7461213,96,,1093.634,11.716,4,24
83,29.7461213,119,,934.569,0,4,25
111,29.7461213,175,,736.3812,0,4,26
81,29.7461213,156,,643.1724,0,4,27
97,29.7461213,59,,1210.2548,0.8452,4,28
27,29.7461213,142,,950.3038,0,4,29
80,29.7461213,66,,1132.2158,0,4,30
70,29.7461213,124,,825.9534,0,4,31
61,29.7461213,26,,965.5826,0,4,32
139,29.7461213,58,,1089.6354,0,4,33
137,29.7461213,163,,765.1238,0,4,34
169,29.7461213,131,,746.3344,0,4,35
0,29.7461213,127,,1257.4394,0,4,36
68,29.7461213,66,,867.9944,0,4,37
52,29.7461213,144,,876.1988,0,4,38
183,29.7461213,94,,719.5936,0,4,39
57,29.7461213,61,,1039.0142,0,4,40
94,29.66149506,0,,1333.4224,0,5,1
174,29.66149506,8,,1018.0416,0,5,2
97,29.66149506,5,,1268.525,0,5,3
103,29.66149506,27,,1318.528,0,5,4
143,29.66149506,50,,1055.9696,0,5,5
163,29.66149506,70,,965.7956,0,5,6
162,29.66149506,95,,1189.8446,0,5,7
138,29.66149506,110,,1088.577,0,5,8
107,29.66149506,117,,1112.5338,0,5,9
97,29.66149506,104,,955.8802,0,5,10
114,29.66149506,93,,925.3016,0,5,11
121,29.66149506,75,,1075.4572,0,5,12
178,29.66149506,153,,878.2942,0,5,13
148,29.66149506,176,,742.175,1.614,5,14
7,29.66149506,178,,1071.551,0,5,15
2,29.66149506,168,,1081.6884,0,5,16
17,29.66149506,116,,1206.7768,0,5,17
31,29.66149506,41,,1094.7564,0,5,18
116,29.66149506,146,,779.7614,6.5274,5,19
118,29.66149506,17,,981.1166,0,5,20
149,29.66149506,38,,857.7772,0,5,21
194,29.66149506,154,,852.6524,0,5,22
55,29.66149506,167,,775.6964,0,5,23
59,29.66149506,96,,1092.7554,0,5,24
83,29.66149506,119,,925.081,0,5,25
111,29.66149506,175,,732.225,0,5,26
81,29.66149506,156,,643.17,0,5,27
97,29.66149506,59,,1201.2,0,5,28
27,29.66149506,142,,939.2304,0,5,29
80,29.66149506,66,,1124.6708,0,5,30
70,29.66149506,124,,832.2998,6.3464,5,31
61,29.66149506,26,,950.5624,0,5,32
139,29.66149506,58,,1073.3216,0,5,33
137,29.66149506,163,,759.1548,0,5,34
169,29.66149506,131,,739.0772,0,5,35
0,29.66149506,127,,1249.5016,0,5,36
68,29.66149506,66,,862.703,0,5,37
52,29.66149506,144,,872.8686,0,5,38
183,29.66149506,94,,706.2104,0,5,39
57,29.66149506,61,,1027.0618,0,5,40
94,29.57686883,0,,1323.4836,0,6,1
174,29.57686883,8,,1006.1612,0,6,2
97,29.57686883,5,,1269.4374,0.9124,6,3
103,29.57686883,27,,1303.4516,0,6,4
143,29.57686883,50,,1043.4482,0,6,5
163,29.57686883,70,,954.6788,0,6,6
162,29.57686883,95,,1178.9176,0,6,7
138,29.57686883,110,,1086.0856,0,6,8
107,29.57686883,117,,1108.015,0,6,9
97,29.57686883,104,,943.5284,0,6,10
114,29.57686883,93,,924.2344,0,6,11
121,29.57686883,75,,1064.4786,0,6,12
178,29.57686883,153,,848.7652,0,6,13
148,29.57686883,176,,741.0528,0,6,14
7,29.57686883,178,,1065.4118,0,6,15
2,29.57686883,168,,1086.3942,4.7058,6,16
17,29.57686883,116,,1202.3576,0,6,17
31,29.57686883,41,,1091.3272,0,6,18
116,29.57686883,146,,768.95,0,6,19
118,29.57686883,17,,979.079,0,6,20
149,29.57686883,38,,840.8762,0,6,21
194,29.57686883,154,,858.1406,5.4882,6,22
55,29.57686883,167,,762.0304,0,6,23
59,29.57686883,96,,1092.916,0.1606,6,24
83,29.57686883,119,,913.6026,0,6,25
111,29.57686883,175,,715.3998,0,6,26
81,29.57686883,156,,633.3142,0,6,27
97,29.57686883,59,,1206.8468,5.6468,6,28
27,29.57686883,142,,927.54,0,6,29
80,29.57686883,66,,1120.178,0,6,30
70,29.57686883,124,,831.4784,0,6,31
61,29.57686883,26,,935.148,0,6,32
139,29.57686883,58,,1055.0506,0,6,33
137,29.57686883,163,,752.1596,0,6,34
169,29.57686883,131,,734.8116,0,6,35
0,29.57686883,127,,1246.882,0,6,36
68,29.57686883,66,,859.523,0,6,37
52,29.57686883,144,,862.9662,0,6,38
183,29.57686883,94,,703.2626,0,6,39
57,29.57686883,61,,1009.0666,0,6,40
94,29.4922426,0,,1314.9168,0,7,1
174,29.4922426,8,,988.539,0,7,2
97,29.4922426,5,,1257.7438,0,7,3
103,29.4922426,27,,1301.2516,0,7,4
143,29.4922426,50,,1042.775,0,7,5
163,29.4922426,70,,962.281,7.6022,7,6
162,29.4922426,95,,1176.7778,0,7,7
138,29.4922426,110,,1075.3342,0,7,8
107,29.4922426,117,,1107.397,0,7,9
97,29.4922426,104,,941.4584,0,7,10
114,29.4922426,93,,922.8136,0,7,11
121,29.4922426,75,,1060.512,0,7,12
178,29.4922426,153,,821.3766,0,7,13
148,29.4922426,176,,742.7528,1.7,7,14
7,29.4922426,178,,1064.261,0,7,15
2,29.4922426,168,,1081.8808,0,7,16
17,29.4922426,116,,1189.1134,0,7,17
31,29.4922426,41,,1088.2772,0,7,18
116,29.4922426,146,,761.5728,0,7,19
118,29.4922426,17,,969.0852,0,7,20
149,29.4922426,38,,825.0082,0,7,21
194,29.4922426,154,,860.6334,2.4928,7,22
55,29.4922426,167,,753.0892,0,7,23
59,29.4922426,96,,1091.3516,0,7,24
83,29.4922426,119,,908.8312,0,7,25
111,29.4922426,175,,707.053,0,7,26
81,29.4922426,156,,635.2762,1.962,7,27
97,29.4922426,59,,1198.316,0,7,28
27,29.4922426,142,,923.6248,0,7,29
80,29.4922426,66,,1114.1634,0,7,30
70,29.4922426,124,,828.9606,0,7,31
61,29.4922426,26,,931.2784,0,7,32
139,29.4922426,58,,1060.9342,5.8836,7,33
137,29.4922426,163,,753.7572,1.5976,7,34
169,29.4922426,131,,732.9258,0,7,35
0,29.4922426,127,,1232.2918,0,7,36
68,29.4922426,66,,861.2544,1.7314,7,37
52,29.4922426,144,,857.365,0,7,38
183,29.4922426,94,,699.4188,0,7,39
57,29.4922426,61,,1003.338,0,7,40
94,29.40761636,0,,1318.889,3.9722,8,1
174,29.40761636,8,,966.003,0,8,2
97,29.40761636,5,,1250.3124,0,8,3
103,29.40761636,27,,1282.7482,0,8,4
143,29.40761636,50,,1040.8428,0,8,5
163,29.40761636,70,,953.3798,0,8,6
162,29.40761636,95,,1168.6238,0,8,7
138,29.40761636,110,,1077.1686,1.8344,8,8
107,29.40761636,117,,1103.1368,0,8,9
97,29.40761636,104,,931.2424,0,8,10
114,29.40761636,93,,918.95,0,8,11
121,29.40761636,75,,1060.9072,0.3952,8,12
178,29.40761636,153,,805.6112,0,8,13
148,29.40761636,176,,743.75,0.9972,8,14
7,29.40761636,178,,1065.2668,1.0058,8,15
2,29.40761636,168,,1072.802,0,8,16
17,29.40761636,116,,1181.7308,0,8,17
31,29.40761636,41,,1079.5604,0,8,18
116,29.40761636,146,,760.3908,0,8,19
118,29.40761636,17,,966.4874,0,8,20
149,29.40761636,38,,817.0082,0,8,21
194,29.40761636,154,,861.8596,1.2262,8,22
55,29.40761636,167,,750.0874,0,8,23
59,29.40761636,96,,1090.9034,0,8,24
83,29.40761636,119,,903.6502,0,8,25
111,29.40761636,175,,707.175,0.122,8,26
81,29.40761636,156,,638.0458,2.7696,8,27
97,29.40761636,59,,1190.4128,0,8,28
27,29.40761636,142,,916.5334,0,8,29
80,29.40761636,66,,1114.4646,0.3012,8,30
70,29.40761636,124,,818.5588,0,8,31
61,29.40761636,26,,924.3972,0,8,32
